rec,verdict,reason_code,behavior_hint,note,doi,title
385,EXCLUDE,E4,,"ISO 삼각측정 음경 특성화, 음·지각지도만이고 행태 측정 없음",10.17271/2318847297120212955,"Characterisation of the soundscape of parks and green areas through the triangulation of methodologies proposed by ISO/TS 12913-2"
387,EXCLUDE,E4,,"센서 측정과 설문 지각 비교 프레임워크, 행태 아웃컴 없음",10.3390/ijgi13050152,"A Quantitative and Qualitative Experimental Framework for the Evaluation of Urban Soundscapes: Application to the City of Sidi Bou Saïd"
388,EXCLUDE,E3,,"광장 행태매핑 실증이나 음환경 변수 전무, 시각·접근성만",10.13189/cea.2024.120440,"Community Behavior in Public Gray Open Spaces, Case Study: Merbau Square, Banyumanik-Semarang"
390,RETRIEVE,,아동 공원 이용빈도,"이용행태 명확, 공원평가도구 내 음환경 항목 여부 전문 확인",10.5814/j.issn.1674-764x.2025.03.019,"The Impact of Parental and Park Factors on Children's Urban Park Use in Shanghai, China"
391,RETRIEVE,,횡단 결정·수용간격,"청각단서 유무별 실제가로·VR 횡단행태 실험, 핵심 적합",10.1162/pres.a.8,"The Impact of Auditory Traffic Perception on Pedestrians’ Street-Crossing Behavior: Insights from Real and Virtual Environments"
392,EXCLUDE,E3,,"행태는 집단조건이고 아웃컴은 생리·기분, 음환경 변수 없음",10.1038/s41598-025-09526-6,"Study on the restorative benefits of four behavioural patterns of urban landscape forests under seasonal change"
395,RETRIEVE,,신체활동 수준·좌식행동,"리뷰텍스트에서 공원특성·PA수준·소리지각 동시 추출, 연관 분석",10.1016/j.ecoinf.2025.103548,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model"
397,UNCERTAIN,,,"초록 미확보, 주거 옥외 여부와 행태 아웃컴 확인 필요",10.1007/s12061-025-09779-8,"Beyond the Sound Source Itself: how Daily Activities and Demographics Influence Residential Soundscape Perception and Satisfaction"
399,RETRIEVE,,친환경행동(자기보고),"음경지각→친환경행동 경로, 행태범주 적합성 전문 확인 필요",10.1080/02508281.2025.2611770,"How does destination soundscape promote tourists’ pro-environmental behaviour? A Reasonable Person Model"
402,UNCERTAIN,,,"초록 미확보, 행태패턴 매개는 있으나 음환경 포함 불명",10.1007/s11355-026-00712-w,"The effect of park quality on health benefits: mediating roles of behavioral patterns"
405,UNCERTAIN,,,"초록 미확보, 보행환경 진단틀의 음환경·행태 측정 여부 불명",10.1007/s11355-026-00718-4,"Unveiling hidden inequities: a dual-perspectives diagnostic framework for pedestrian environment mismatches in urban park accessibility"
408,EXCLUDE,E4,,"딥러닝 음원분류·생태음향 중심, 인간 행태 측정 없음",10.3390/f16091416,"Spatiotemporal Heterogeneity of Forest Park Soundscapes Based on Deep Learning: A Case Study of Zhangjiajie National Forest Park"
409,EXCLUDE,E3,,"노인 신체활동 아웃컴이나 공원변수 전부 비음향(규모·활력·접근성)",10.1186/s12877-026-07051-3,"The association between physical activity level in older adults and community park characteristics: a configural path analysis"
