rec,verdict,reason_code,rationale,boundary_rule,batch,screen1,year,journal,doi,title
1,FINAL_INCLUDE,,§2.3·3.1에서 사진 그리드로 군중밀도(persons/m²)를 실측해 LAeq·음원 가청도·음향쾌적성을 분석 — 행태→음환경 역방향 구조 충족,,ctft_01,RETRIEVE,2014,The Science of The Total Environment,10.1016/j.scitotenv.2014.12.060,The influence of crowd density on the sound environment of commercial pedestrian streets
7,FINAL_INCLUDE,,§2.2·3.2에서 자기보고 체류시간 4구간을 독립변수로 35개 사운드스케이프 지각을 GLM 분석 — 체류 행태→음환경 평가 역방향,,ctft_01,RETRIEVE,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100728,Do soundscape perceptions vary over length of stay within urban parks?
10,FINAL_EXCLUDE,X4,아웃컴 9항목 전부 0-10 주관평정(짜증·놀람·대화방해 지각)이고 Cronbach 0.93·단일 주성분 65%↑로 수렴 — 관찰가능 행태 없음,,ctft_07,UNCERTAIN,2025,Building and Environment,10.1016/j.buildenv.2025.113572,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians
17,FINAL_EXCLUDE,X4,"유럽 5개국 14개 도시 옥외 공공공간에서 2001–2002년 9,200건 면접과 면접별 1분 Leq 측정(§2, Table 2)으로 음 수준 평가·음향 쾌적성과 Leq·배경음(Leq90)·음원 유형(분수·철거음·음악)·연령·성별의 관계를 분석했으나(§3.1–3.4, Fig. 1–5, Table 3–4) 결과는 지각 평가뿐이다. 이용자 활동은 음원 목록·부지 기술(§2, Table 1)과 음악 선호가 연주자 활동과 관련된다는 서술(§3.3)로만 언급되고 행태 변수 분석이 없어 X4로 판정했다. 같은 배치 80(Yu & Kang 2008)과 동일한 유럽 14개소 조사 자료다(코퍼스 표본 공유 없음).",,nft_16,UNCERTAIN,2004,Applied Acoustics,10.1016/j.apacoust.2004.07.011,Acoustic comfort evaluation in urban open public spaces
18,FINAL_EXCLUDE,X4,실험 아웃컴이 sound setting의 dominance·preference와 mention 빈도(Table One-Ten)뿐 — 행태 측정 없음. 본문 절단되나 초록·표목록으로 판단 가능,,ctft_07,UNCERTAIN,1969,Environment and Behavior,10.1177/001391656900100104,The Sonic Environment of Cities
21,FINAL_EXCLUDE,X4,Soundscape Survey절 질문지는 음 인지·선호·선호 이완음환경만 측정; '광장 선택' 주장은 두 광장 이용자 선호차 추론일 뿐 방문·체류 미측정,P2,ctft_01,RETRIEVE,2005,Journal of Urban Design,10.1080/13574800500062395,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
25,FINAL_INCLUDE,,Experiment 2는 주거지 가로에서 잔디깎기 87 vs 50 dB(C)를 조작하고 은닉 관찰자가 책 줍기 원조행동을 기록 — 옥외 현장실험·관찰 행태,,ctft_01,RETRIEVE,1975,Journal of Personality and Social Psychology,10.1037/0022-3514.32.4.571,Environmental noise level as a determinant of helping behavior.
34,FINAL_EXCLUDE,X4,"Warnemünde(Rostock) 23개 옥외 지점에서 훈련된 관찰자 12명이 음원별 지각 라우드니스를 기록하고(§2.2 [page 2–3]) 경관지수(NDVI·LSI 등)와의 상관만 분석했으며(§2.4, Table 3 [page 8]) 이용자 행태·활동·군중 지표는 측정하지 않았다. '시간 변동은 인간 활동이 견인'은 음원 시간패턴에 대한 해석일 뿐(§3.1 [page 4], §5 [page 8]) 행태→음환경 경로의 측정이 없음 — 갈리는 지점: 대화·발소리 등 인간활동음 우세를 행태 대리지표로 볼지 여부(본 판정은 음원 범주로 봄).",,nft_02,UNCERTAIN,2013,Landscape and Urban Planning,10.1016/j.landurbplan.2013.03.008,Spatiotemporal variability of soundscapes in a multiple functional urban area
40,FINAL_EXCLUDE,X3,"보고타 공원 웰빙 설문에 음환경 측정·문항 전무(noise는 서론 인용 3회뿐), 측정된 환경스트레서는 perceived crowding 단일문항뿐",,ctft_07,UNCERTAIN,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
63,FINAL_EXCLUDE,X3,컨조인트 10개 공원속성(슬라이드·그네·경로·미관·쓰레기 등)에 음환경 항목 없음. 아웃컴도 가상 선택과제 기반 방문의도,P2,ctft_07,UNCERTAIN,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,Park attributes that encourage park visitation among adolescents: A conjoint analysis
80,FINAL_EXCLUDE,X4,§2.5(3)·3.3 아웃컴은 옥외활동 '방해 정도' 자기보고 평정(짜증 계열)이며 중정 이용·체류량 미측정; courtyard utilization은 벤치·놀이터 유무라는 시설 속성,,ctft_01,RETRIEVE,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
90,FINAL_INCLUDE,,Exp1·2 모두 허리 착용 비디오로 1.8 km 루트 16구간 보행속도(m/s)를 실측하고 헤드폰 음악 템포·동기부여성을 조작 — 옥외 현장실험,,ctft_01,RETRIEVE,2014,Frontiers in Psychology,10.3389/fpsyg.2014.01361,Tempo and walking speed with music in the urban context
100,FINAL_EXCLUDE,X3,"상하이 충밍다오 둥핑국가삼림공원에서 열린 제10회 중국화훼박람회 방문객 현장 설문 429부(§3.2 [page 5–6])로 자연연결감(CTN)→문화생태계서비스(CES) 가치지각→장소·이벤트 애착→친환경행동(PEB)의 연쇄매개를 SEM으로 검정한 연구다(§4.4·Fig. 1·Table 3 [page 7, 8]). 옥외 삼림공원 이용자와 자기보고 행태 문항은 있으나 음환경 노출·조작·측정이 없다 — 'sounds'는 CES 7문항 중 '숲의 경관·볼거리·소리·냄새 등을 즐긴다'는 복합 단일문항의 한 단어로만 등장하고(Table 1 [page 6]) 별도 음 지표로 측정·분석되지 않으며, 본문에 소음·음향·사운드스케이프 변수가 전무하다(noise 는 참고문헌 제목 2건뿐). 따라서 노출 부재로 X3. 참고로 저자도 §5.3 [page 8]에서 'PEB 척도는 의향만 측정했다'고 밝혀, 설령 노출이 있었더라도 R2(SENS_ONLY) 대상이었을 사안이다. corpus_v4_extraction.csv 대조 결과 표본 공유 연구 없음.",,nftb_09,UNCERTAIN,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
106,FINAL_EXCLUDE,X4,반무향실 실험 2건의 아웃컴이 노면재별 Noise Annoyance·Soundscape Quality 100mm 평정뿐 — 보행은 자극 조작이지 측정된 행태 아님,,ctft_07,UNCERTAIN,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
