no,item,item_no,verdict,rationale
CT0171,sampling strategy relevant to address research question,4.1,Y,§2.2·§2.4에서 자연음·인간음 우세(HN)와 인간음·교통음 우세(HT)가 대비되도록 하얼빈의 도시공원·자연공원·보행가로·간선도로 9개 사이트 41개 지점을 의도적으로 선정하고 각 지점에서 이용자를 무작위 면접해 음원 지각(RSI)·OSA·군중밀도를 동시 수집한 설계는 '인간음 기반 지수가 사운드스케이프에 미치는 영향'이라는 연구질문(§1 말미)에 부합한다.
CT0171,sample representative of the target population,4.2,N,"§2.4의 유효 323부는 연령이 20–60세에만 분포하고(20–30 25.4%, 30–40 36.5%, 40–50 26.3%, 50–60 11.8%) 60세 이상·미성년 이용자가 전혀 없어, 노인·아동 이용이 큰 중국 도시공원 이용자 모집단과 괴리가 크다. 모집단 정의·표본추출 틀·응답률도 제시되지 않았고 단일 도시라는 한계는 저자도 §4.4에서 인정한다."
CT0171,measurements appropriate,4.3,Y,"SPL은 지점당 10분·15분 간격 측정에 반사면 1 m·지상 1.2–1.5 m 설치로 GB 3096-2008을 따르고(§2.5), 설문은 ISO/TS 12913-2·SSQP 기반 7점 음원 라우드니스와 OSA(-3~3)·4개 형용사쌍을 사용하며(§2.4·Appendix), 군중밀도는 30 m×30 m를 1 m×1 m 그리드로 나눈 드론 사진 계수(§2.3·Fig. 2)로 노출·결과 측정이 적절하다. 다만 군중밀도는 Children's Park 지점에서만 촬영되어(Fig. 3 흐름도) 행태 변수의 적용 범위가 좁다."
CT0171,risk of nonresponse bias low,4.4,CT,§2.4는 유효 응답 323부와 성·연령 분포만 제시하고 접촉 인원·거절 건수·응답률을 보고하지 않아 무응답 편의의 크기를 판단할 수 없다. 조사 시기를 5월·10월의 18–26 °C 맑은 날로 제한한 것(§2.4)도 이용자 구성 편중 가능성을 남기지만 관련 비교 자료가 없다.
CT0171,statistical analysis appropriate to answer research question,4.5,N,"Spearman 상관·선형/이차 회귀·Kruskal-Wallis 자체는 질문에 맞으나(§2.6), OSA–RSI 관계의 임계(RSIn 0.8·1.5, RSIt 1.5·2.5)를 그래프 추세로 사후에 정한 뒤 같은 자료를 그 구간으로 나눠 회귀하고 다시 그 분류로 집단 간 검정을 수행해(§3.2–3.3, Fig. 5–10) 순환적이다. 또한 Table 1은 응답자 N(67·56), Fig. 4는 지점 단위로 분석 단위가 혼용되고 지점 내 응답 군집을 보정하지 않았으며, 하위구간 회귀의 F=7.129·5.930처럼 표본이 작다."
CT0391,participants representative of the target population,3.1,N,"§3.1([page 4]-[page 5])의 표본은 대학 캠퍼스에서 자원한 30명(평균 21세, SD 2)뿐이고 집단당 15명이다. 저자 스스로 §5.3([page 11])에서 '파일럿 연구로 표본이 작고 더 다양하고 대표성 있는 모집단이 필요하다', '고령자 청력·시력 저하로 결과가 달라질 수 있다'고 밝혀 보행자 일반에 대한 대표성이 확보되지 않았다."
CT0391,measurements appropriate regarding outcome and exposure,3.2,Y,"결과변수는 광전 센서선이 촉발한 라이다로 물러선 순간의 차량 거리·속도를 직접 재어 계산한 TTC 로 연속척도이며(§3.3 [page 6]-[page 7]), 저자는 이산 간격·버튼 응답 방식보다 민감하다고 근거를 들어 설계 이점을 논증한다(§5.1 [page 10]). 노출측도 실제 환경은 귀마개, VR 은 무음 조건 대 공간화 3차원 차량음(엔진·타이어·공력 성분, ITD·ILD·HRTF·도플러 구현)으로 구체화되어 있다(§3.2 [page 5]-[page 6]). 다만 노출 조작이 음원 조작이 아니라 청취 차단이라는 점은 해석상 유의점이다."
CT0391,complete outcome data,3.3,Y,"설계상 예상 시행수 900건(2 음조건 × 2 환경 × 15명 × 15회)이 모두 기록되었다고 보고되고(§4 [page 7]), 탈락·결측 기술이 없다. Tukey fences(k=3)로 식별된 극단값 4건은 제거가 아니라 윈저화해 분석에 남겼다(§4.1 [page 7]-[page 8])."
CT0391,confounders accounted for in design and analysis,3.4,N,"환경 순서 균형배치, 속도 의사무작위화, 반복측정을 랜덤효과로 둔 선형혼합모형, 학습효과 회귀 점검 등 설계·분석 통제는 있으나(§3.3 [page 6]-[page 7], §4.2·4.4 [page 8]-[page 9]), 음 조건이 참가자 간 배정인데도 두 집단의 기저 특성(연령·청력·성별 구성) 비교나 공변량 보정이 보고되지 않았고 성별과 접근속도는 분석 요인에서 아예 제외되었다(§4 [page 7]). 저자도 시간 제약으로 동일 참가자가 두 음 조건을 모두 경험하지 못했음을 한계로 든다(§5.3 [page 11])."
CT0391,exposure/intervention administered as intended,3.5,Y,"실제 환경에서는 무음 집단이 실험 내내 청력보호구를 착용했고 VR 에서는 능동소음제거 헤드폰으로 실험실 소음까지 차단한 채 무음/유음 조건을 제시했으며, 차량은 크루즈 컨트롤로 30·35·40 km/h 정속 주행해 노출이 계획대로 제시되었다(§3.1-3.3 [page 5]-[page 6]). 다만 청력보호구의 실제 차음량이나 잔존 가청성에 대한 검증 수치는 보고되지 않았다."
