no,reason,year,journal,title
372,불확실: 재활정원 공공접근성 불명확·행태 결과 발췌 미확인,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective
435,미확정: 회고적 소리기억 내러티브로 관찰가능 행태의 구체적 측정지표 부재·대상 공간이 옥외 공공공간과 실내(주택·시나고그·상점) 혼재,2017,Sound Studies,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions 
469,미확정: 자기보고 PEB 척도가 실제 행태인지 태도·의도인지 발췌로 불명·노출이 음향환경이 아닌 soundscape emotion(조절변수),2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development
613,미확정: 소음 지각-신체활동 연관 발췌 미확인·환경지각 종합 연구,2020,International Journal of Environmental Research and Public H,Environmental quality perceptions and health: A cross-sectional study of citizens of Kauna
726,미확정: 음환경 측정 없음·활동유형과 청각요소 언급 연관만 존재,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest The
770,음환경-행태 직접 연결 불명확: 음환경은 정서에만 연결됨,2021,International Journal of Environmental Research and Public H,The influence of emotional health on the activity characteristics of the elderly and the s
779,미확정: 노출은 주거지 주소 기반 도로교통소음(28개 도시노출 중 1개)이고 행태(부모보고 신체활동·좌식·수면)가 공공 오픈스페이스 내 행태로 특정되지 않음,2021,ENVIRONMENT INTERNATIONAL,Urban environment and obesity and weight-related behaviours in primary school children
791,"소음·통행량 병렬 측정만, 음환경-행태 결합분석 발췌에 미확인",2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus
818,ERB 측정문항 미제시: 실행태 대 의도 구분 불가,2022,LAND,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in L
858,방문빈도·체류시간 수집되나 사운드스케이프와의 분석 발췌에 미확인,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study
862,인간 행태 직접 측정 없음: 여가 음원 비율로만 추론,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its L
880,미확정: 노출은 주거지 Lden 도로교통소음이고 보행수·좌식시간이 옥외 공공공간 활동으로 특정되지 않음(소음은 신체활동과 무연관으로 보고),2022,ENVIRONMENTAL RESEARCH,Urban environment and physical activity and capacity in patients with chronic obstructive 
909,설계스튜디오 교육 리뷰; 행태지도·soundwalk 병행하나 정량 관계분석 없음,2023,Sustainability (Switzerland),Designing Public Soundscapes through Social Architecture and Soundscape Approaches: Reflec
912,미확정: 지각 음환경질이 SEM 매개변수이고 신체활동도 자기보고 매개경로·음환경→신체활동 경로계수가 발췌에 미확인,2023,SCIENCE OF THE TOTAL ENVIRONMENT,"Do objective and subjective traffic-related pollution, physical activity and nature exposu"
980,"노출 지속시간이 매개변수로만 등장, 소리-행태 관계 발췌에 미확인",2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceive
981,"행태 지표는 표본기술 수준, 인간활동-음향 연계는 해석적 서술",2024,BUILDINGS,A Study on Spatiotemporal Dynamics and Spatial Dependence of Sound Source Perception in Fu
984,"Outdoor scenic lake park and soundscape exposure are clear, but the excerpt does not show that staying behaviour (viewing scenery or rest) was actually measured; it may be an inference from the perception questionnaire rather than a behavioural outcome",2024,LANDSCAPE RESEARCH,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake sceni
999,"Reverse pathway is present (human activity type and intensity affect soundscape evaluation) but activities were simulated as recorded sound stimuli in a laboratory and all measured outcomes are perceptual (perceived dominance, acoustic comfort, PAQ) with no observed behaviour",2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian s
1009,아웃컴이 사회적 상호작용 의향(LoW) — 실제 행태 관찰 아님,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,Effect of human sound component on the sociability of urban public spaces-a case study in 
1121,아웃컴이 열·음향 쾌적 평가뿐; PAL(신체활동수준)이 음향쾌적에 영향하는 역방향 후보이나 행태 측정 인정 여부 불확정,2025,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Effects of interactions between thermal and acoustic environments on subjective comfort ev
1138,"행태=경적 사용, 아웃컴은 음향지표 — 행태 아웃컴 미측정",2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of
1141,주거 근린 노출 연구로 공공 오픈스페이스 특정 불가; 소음→신체활동 경로는 있으나 방법 발췌 결손으로 PA 측정법 미확인,2025,URBAN FORESTRY & URBAN GREENING,"How objective and subjective greenspace, combined with air and noise pollution, impacts me"
1202,아웃컴은 사운드스케이프 평가뿐; 진행 중 활동·이벤트가 예측변수로 등장하나 행태의 체계적 관찰·코딩 여부 발췌에 미확인,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban o
1232,전문가 포커스그룹 진술 — 특정 옥외공간 행태 실측 아님,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with E
