batch,id,branch,verdict,reason_code,boundary_rule,confidence,rationale
nftb_01,137,DB,FINAL_INCLUDE,,R3,low,"§Results 'Unique Soundscapes and Night Sky'([page 88]-[page 89], 인쇄 pp.79-80)와 §Discussion and Implications([page 92]-[page 93], pp.83-84)에서 야간 사운드스케이프(올빼미·매미·귀뚜라미·개구리·멀리서 들린 코요테·개울 소리)와 natural quiet이 야간 하이킹 참여 동기이자 성과로 보고되고, 역으로 야간에 하이킹한다는 활동 자체가 청각 의존을 높여 사운드스케이프 지각을 바꾸며 참가자 대부분이 natural quiet을 지키려 속삭였다고 기술되어 역방향 경로(R3)가 성립한다. 다만 보고된 결과의 중심은 경험·의미·지각(솔리튜드·위험지각·합법성 인식)이고 행태는 자기보고 서술뿐이라 X4(관찰 가능한 행태 결과 없음)로 읽을 여지도 있어 confidence=low 로 둔다. corpus_v4_extraction.csv 대조 결과 동일 표본을 쓴 기존 포함 연구는 없다."
nftb_02,CT0422,CT,FINAL_EXCLUDE,X3,,high,"조깅 궤적 빈도(KEEP 2023년 공개 궤적 7,647건·가로구간 11,207개)를 종속변수로 한 가로 단위 건조환경 연구로, 행태 결과(movement)는 있으나 음환경 노출·조작이 전혀 없다. §3.3·Table 1–4 의 13개 변수는 GSD·BD·LUM·NC·BGA·SFA·TP(거시), GVI·VR·CA·SO(가로영상 시각지표), PD·HP(맥락 공변량)뿐이고 전문 어디에도 소음·음향·사운드스케이프 지표가 없다(본문 중 'noise' 단 1회는 §3.4 LOWESS 평활의 통계적 'local noise' 로 음환경과 무관). 음환경이 통제변수로도 들어가지 않으므로 P3 이 아니라 노출 자체 부재로 X3."
nftb_02,CT0264,CT,FINAL_EXCLUDE,X3,,high,"우한 휴대전화 신호 데이터(76만 6,261명)로 취업자의 옥외 여가활동(IOLA)과 건조환경의 연관을 본 연구로, 행태 결과(space-use·activity)는 있으나 음환경 노출·조작이 없다. §2.4·Table 1 의 건조환경 변수는 PD·LCP·LUP·LBP·RD·BSD·MCR·LUM 이며, 전문 전체에 noise/sound/acoustic 어휘가 단 한 번도 등장하지 않는다(§4 논의·§5 결론 포함). 역방향(행태→음환경) 경로도 없어 X3."
nftb_02,1101,DB,FINAL_EXCLUDE,X2,R1,high,"리투아니아 카우나스 취학전 아동 1,457쌍의 주거지 도로교통소음(Lnight, 전략소음지도·건물 둘레 평균법)과 SDQ 심리건강의 연관을 본 역학 연구다(§Methods·Table 4). 노출이 주거 건물 단위로만 정의되고 특정 공공 옥외공간과 연결되지 않아 경계규칙 R1 에 정확히 해당하므로 FINAL_EXCLUDE(X2). 덧붙여 결과는 모친 보고 SDQ 척도(과잉행동·정서·품행 등 심리 스크리닝)로 관찰 가능한 공공공간 행태가 아니어서 X4 도 성립하나, 코드 순서상 X2 를 적용했다."
nftb_03,CT0369,CT,FINAL_EXCLUDE,X3,,high,"중국 다롄 중심시가지 60세 이상 879명 대면설문(§3.2.1, 2019년 7–10월)과 OSM·Gaode POI·NDVI·블루스페이스 빅데이터로 가로망 속성(교통·사회·자연 3범주, Table 2)이 자택 15분 보행권 활동행태(3범주 13개 활동 수행 수, 평균 8.79)에 미치는 비선형 영향을 GBDT로 분석한 연구다(§3.4·§4.2–4.4, Fig. 4–9). 활동행태(걷기·운동·카드놀이·야외 사교 등 movement·activity·social·space-use)는 풍부하나 전문 어디에도 음환경 노출·조작 변수가 없다 — Table 2 변수 목록과 Table A1(Appendix) 회귀표에 음 지표가 전혀 없고, 전문 검색 결과 'hearing'은 §2.3 노화에 따른 감각 저하 서술이고 §5.2의 'minimize noise'는 모델의 통계적 잡음을 뜻한다. 8월·9월 선례 CT0108(행태지도 관찰은 있으나 소리 변수 부재 → X3)과 같은 구조라 X3."
nftb_03,998,DB,FINAL_EXCLUDE,X2,R1,high,"바르셀로나 보건조사(2016) 15–97세 3,145명 횡단 역학연구로(§2.1), 노출은 자택 주소에 결합한 바르셀로나 전략소음지도 Lden(Table 2 중앙값 66.0 dBA)·LUR 대기오염·GIS 건조환경 지표이고, 행태는 IPAQ 단문형으로 물은 최근 7일 보행 시간(§2.3, 중앙값 210분)이며 결과는 GHQ-12 정신건강(§2.4)이다. 소음·대기오염·보행은 건조환경→정신건강 경로의 나란한 매개변수로만 추정되어(§2.6 Step 2–3) 소음과 보행을 연결한 분석이 없고, §4.1.4는 '도로교통소음은 어떤 연관도 매개하지 않았다'고 보고한다. 노출이 거주지 단위이고 보행도 특정 옥외 공공공간과 연결되지 않은 역학 연구라 경계규칙 R1에 따라 X2(선례 nft_03 512·nft_13 1203과 동일 구조)."
nftb_03,950,DB,FINAL_EXCLUDE,X4,,low,"간쑤성 샤허현 라브랑 구시가를 200 m 격자로 나눠 정한 51개 지점에서 5개 시간대(06:00–07:30 등) 각 3분간 소음계 AWA6228로 LAeq·Lmax·Lmin을 재고 ArcGIS 역거리가중 보간으로 소음지도를 그린 연구로([page 3–4] Data Source and Processing·Methods), 결과(Spatial/Time Characteristics, Figure 3·6–11)는 지점·시간대별 음압(43.6–68 dB, 전일 평균 52.61–57.43 dB)뿐이고 행태 지표·표본·통계가 전혀 없다. Methods에 '측정점 주변 환경 특성·군중 행태·음원 유형을 녹음펜과 카메라로 동시 기록'([page 3–4])했다고 적었으나 행태를 변수로 조작화·분석하지 않았고, 초록·결론의 '사운드스케이프의 공간 분포는 도시 기능지역과 군중 행태 활동에 밀접히 관련된다'는 서술과 'High Coupling of Soundscape Change and Life Rhythm' 절의 카드놀이·일광욕·담소([page 9]), 관광객 2시간 체류([page 9]), 자가용 출퇴근([page 8]) 언급은 음원·음압을 설명하는 해석 수준이라 선례 957·CT0342에 따라 X4다. 갈리는 지점: Methods의 군중 행태 기록 문구와 Figure 4의 소음도–관광 동선 병치, 그리고 nft_15 1191(체류시간·촬영빈도를 기록했다는 서술만으로 포함)을 근거로 행태→음환경 역방향 포함으로 볼 여지가 있어 confidence=low. 코퍼스 v4에 라브랑·샤허 표본 없음."
nftb_03,357,DB,FINAL_EXCLUDE,X5,,high,"Landscape Architecture Frontiers 4권 4호(2016)에 실린 중·영 병기 논고로, §1 Preface–§4 Conclusion 까지 시각·청각·후각·촉각 감지의 공간 척도와 감지 선호를 문헌([1]–[28])과 사례 사진(Fig. 1–4: 하이드파크·셰필드역 광장·바스 가로정원)으로 논할 뿐 표본·자료수집 절차·분석·결과가 없어 실증 연구가 아니다(X5; 8–9월 선례 1169·387과 동일). §3.2.2의 60 dB 이하 정온 인식, 프랑스 광장 174명 설문, 자연음·물소리 선호, 30 m 청각 반경, 가두음악 선호는 모두 타 연구 인용이고, 향기가 옥외 체류 기회를 늘린다는 §3.3.2 서술도 저자 주장이다. 지시대로 X7 해당 여부를 본문으로 확인한 결과 각 쪽 좌·우단에 중문과 나란히 전문이 완역 영문으로 실려 있어(제목·초록만 영어인 경우가 아님) X7은 적용하지 않았고, 코드 번호 순서상 먼저 해당하는 X5로 판정했다."
nftb_04,CT0360,CT,FINAL_EXCLUDE,X4,,medium,"선전 서커우 52.46 km² 격자에서 62개 지점 10분 LAeq 측정(§4.2 [page 7])을 라벨로 POI·AOI·도로·건물·식생·가로영상 28개 지표에서 SPL·음원유형을 준지도학습으로 예측하고 SHAP로 해석한 연구다(§3.2·Table 2, §5.3·Fig. 10–11 [page 12–14]). 참여자·설문·행태 관찰이 전혀 없어 5도메인의 관찰 가능한 행태 결과가 없고, 역방향으로 볼 만한 투입도 가로영상의 차량·트럭 픽셀 비율(Street Vision Context, Table 2 [page 5])과 POI·AOI 밀도 같은 환경·영상 지표일 뿐 이용자 행태 측정이 아니다. 8월 코퍼스의 음향 측정·매핑 전용 연구(599·639·OAS0001·OAS0040) 선례와 같은 X4."
nftb_04,982,DB,FINAL_EXCLUDE,X4,,high,"밀라노 9구 DYNAMAP 무선음향센서망 15개 지점의 2020년 1월–2021년 8월 Lden·LdenANED와 이상소음사건(ANE) 보정량을 2019년 동기 대비로 12개 기간에 걸쳐 비교하고 클러스터링한 연구다(§2.1–2.2.3, Fig. 2–10, Table 3–4 [page 5–10]). 결과변수는 소음지표뿐이고 노출은 정부 방역조치 기간 구분(Table 1·2 [page 2–3])이며, 통행량·이동성·이용자 활동의 측정 자료는 없고 '모빌리티 감소·재택근무·사적 차량 이용 증가'는 §3.1·§4의 해석 서술에 그친다. 8월 코퍼스의 마드리드 락다운 소음망 연구(599)·동일 DYNAMAP 락다운 연구(639)와 같은 X4. 표본 공유 의심: 639(같은 밀라노 9구 DYNAMAP 센서망·2020 락다운 자료를 장기 확장)"
