uid,cluster,decision,variant,label,source,values_verbatim,n_info,method,y,v,r,lo95,hi95,reason
80,MA4,main,primary,"Yu & Kang 2008 (이동 활동 강도 ↔ 음량 평가, 19개 사이트)",Table IX; Table I; §II,Table IX Moving activities rho by site 1–19: 1: -0.01; 2: -0.10; 3: +0.05; 4: +0.06; 5: +0.03; 6: -0.03; 7: +0.02; 8: -0.12; 9: -0.04; 10: +0.00; 11: +0.05; 12: +0.06; 13: -0.03; 14: +0.02; 15: -0.04; 16: -0.06; 17: -0.05; 18: -0.05; 19: +0.00,"Table I interviewees per site 418, 406, 655, 848, 777, 1037, 574, 599, 888, 1041, 459, 489, 499, 510, 307, 304, 62, 79, 79 (합 10,031) — 한 응답자 1관측, 항목 결측 미보고","사이트별 rho → Fisher z(v = 1/(n−3)) → 규약 §3 논문 내 평균(ρ = 0.5, 532 선례). 부호 = 보고 그대로",-0.0126784701,0.0016087343,-0.0126777908,-0.0910,0.0658,"관찰 행태 × 현장 음 지각, 참가자 단위, 규약 내 변환 — MA4 정의(음향·지각 지표 × 행태, 방향 무관) 충족. 표본 공유(104·123)는 D5-5 로 80 한 편만(관찰 기록 명시 = §3 우선순위 ①)"
80,MA4,alt,iv_rho0,80 대안: 사이트 역분산 합성(ρ = 0),Table IX; Table I,,,"독립 표본 표준 합성 — Σ(n−3)z/Σ(n−3), v = 1/Σ(n−3)",-0.0054738295,0.0001002607,-0.0054737748,-0.0251,0.0142,규약 문언(ρ = 0.5)보다 정밀. 랜덤효과 가중치는 τ² 가 지배해 결과 차이 미미
80,MA4,alt,sign_flip,80 대안: 부호 반전(조용 평가 ↔ 활동 강도),Table IX,,,주 합성값의 부호만 뒤집음,0.0126784701,0.0016087343,0.0126777908,-0.0658,0.0910,MA4 에 부호 규칙이 없으므로(심사 M1) 방향 가정이 결과를 바꾸는지 확인
104,MA4,overlap,B5,"Yu & Kang 2009 (방문 빈도 ↔ 음량 평가, 19개 사이트)",Table III; Table I,B5 by site: +0.05; +0.08; +0.00; -0.10; -0.11; +0.10; +0.15; +0.01; -0.07; +0.00; -0.06; -0.00; -0.00; -0.04; -0.10; -0.01; +0.13; +0.05; -0.05,80 과 같은 응답자,사이트별 rho → 논문 내 평균(ρ = 0.5) — 참고용,0.0016369945,0.0016087343,0.0016369931,-0.0768,0.0801,80 과 동일 표본(D5-5 한 편만). B4(이동 상태)는 80 의 Table IX 값과 같다. 80 을 택한 이유 = 행태를 조사원이 관찰했다고 명시(§3 ①). 부호는 PDF 글리프 복원값
104,MA4,overlap,B7,"Yu & Kang 2009 (동행 여부 ↔ 음량 평가, 19개 사이트)",Table III; Table I,B7 by site: +0.01; +0.03; +0.07; +0.12; -0.03; -0.02; -0.04; +0.10; +0.00; -0.09; +0.03; -0.05; +0.06; +0.10; +0.09; -0.10; +0.00; +0.11; -0.04,80 과 같은 응답자,사이트별 rho → 논문 내 평균(ρ = 0.5) — 참고용,0.0184985449,0.0016087343,0.0184964351,-0.0600,0.0968,80 과 동일 표본(D5-5 한 편만). B4(이동 상태)는 80 의 Table IX 값과 같다. 80 을 택한 이유 = 행태를 조사원이 관찰했다고 명시(§3 ①). 부호는 PDF 글리프 복원값
CT0171,MA4,sensitivity,primary,Yang et al. 2021 (군중밀도 ↔ 인간음 지각 비율),Table 1; §3.1.1,RSIn rho = 0.302* (N = 67); RSIt rho = 0.553** (N = 56),N = 응답자(Table 1 주). 군중밀도는 측정점 7개(42장)·2개(12장)의 평균,"rho → z, n 은 보고 N · 두 하위표본 논문 내 평균(ρ = 0.5)",0.4672057371,0.0129157488,0.4359388406,0.2397,0.5980,애매 → 주분석 제외. 행태 변수(군중밀도)가 측정점 단위(7·2곳)인데 N 은 응답자라 정밀도가 과대 — CT0126(측정점 N = 29 채택) 원칙과 충돌. 규약 §4 관측 n 문제와 같은 구조
CT0171,MA4,alt,iv_rho0,CT0171 대안: 역분산 합성(ρ = 0),Table 1,,,두 하위표본 역분산,0.4525873128,0.0085470085,0.4240234558,0.2649,0.5607,
1305,MA4,sensitivity,primary,Reuß & Huth 2026 (자연음 중요도 ↔ 악천후 그린운동),Table 4; §Data analysis,precipitation 0.151; cold 0.170; strong wind 0.076; heat 0.051; sun radiation 0.034,"408명(772 응답 중 결측 제외), 상관별 n 미보고",rho → z(n = 408) · 같은 표본 5효과 논문 내 평균(ρ = 0.5),0.0970069012,0.0014814815,0.0967037529,0.0216,0.1708,애매 → 주분석 제외. 소리 쪽 변수가 장소의 음환경 지각이 아니라 '자연음이 나에게 중요한가'(태도·선호) 5점 문항 — MA4 의 음향·지각 지표 정의 밖. 판정 신뢰도도 low
713,MA4,sensitivity,primary,Ma et al. 2021 (방문빈도 → 좋은 사운드스케이프 선호),Table 7,"Visit frequency B 0.17 (SEB 0.07), 95% CI [0.03, 0.32], b 0.18, p 0.017; F(3,146)",150명(5개 지점 × 30),"규약 §1 표준화 β+SE → 부분상관 근사: t = B/SE, r_p = t/√(t²+df), v = 1/(n − 3 − 2공변량)",0.1996607942,0.0068965517,0.1970493070,0.0369,0.3474,"애매 → 주분석 제외. 결과가 장소 음환경 지각이 아니라 '좋은 사운드스케이프 선호' 평정이고, 쾌적성 지각을 통제한 단계적 회귀의 부분효과(규약 §1 '주의 라벨' 경로). 추출 단계 판정도 계산 불가"
499,MA4,not_computable,,Song et al. 2018 (방문빈도 ↔ 음 요소 선호),Table 3,V1 0.263* … V12 −0.071 (12개 음 요소),"1,260명 중 상관에 쓰인 n 미보고",,,,,,,"n 미보고(규약 §4). n = 1,260 이면 r = .110 도 p < .001 이어야 하는데 유의 표기가 없어 분석 단위 불명. 소리 쪽도 선호(태도) 변수"
