no,rule,old,new,orig_reason,title
469,R2,UNCERTAIN,SENS_ONLY,미확정: 자기보고 PEB 척도가 실제 행태인지 태도·의도인지 발췌로 불명·노출이 음향환경이 아닌 soundscape emotion(조절변수),Exploring tourists' soundscape emotion and its impact on sustainable t
779,R1,UNCERTAIN,FINAL_EXCLUDE,미확정: 노출은 주거지 주소 기반 도로교통소음(28개 도시노출 중 1개)이고 행태(부모보고 신체활동·좌식·수면)가 공공 오픈스페이스 내 행태로 ,Urban environment and obesity and weight-related behaviours in primary
818,R2,UNCERTAIN,SENS_ONLY,ERB 측정문항 미제시: 실행태 대 의도 구분 불가,Does Soundscape Perception Lead to Environmentally Responsible Behavio
880,R1,UNCERTAIN,FINAL_EXCLUDE,미확정: 노출은 주거지 Lden 도로교통소음이고 보행수·좌식시간이 옥외 공공공간 활동으로 특정되지 않음(소음은 신체활동과 무연관으로 보고),Urban environment and physical activity and capacity in patients with 
999,R3,UNCERTAIN,FINAL_INCLUDE,Reverse pathway is present (human activity type and intensity affect soundscape ,Comparative evaluation of soundscapes in human activities spatial cont
1009,R2,UNCERTAIN,SENS_ONLY,아웃컴이 사회적 상호작용 의향(LoW) — 실제 행태 관찰 아님,Effect of human sound component on the sociability of urban public spa
1121,R3,UNCERTAIN,FINAL_INCLUDE,아웃컴이 열·음향 쾌적 평가뿐; PAL(신체활동수준)이 음향쾌적에 영향하는 역방향 후보이나 행태 측정 인정 여부 불확정,Effects of interactions between thermal and acoustic environments on s
1141,R1,UNCERTAIN,FINAL_EXCLUDE,주거 근린 노출 연구로 공공 오픈스페이스 특정 불가; 소음→신체활동 경로는 있으나 방법 발췌 결손으로 PA 측정법 미확인,"How objective and subjective greenspace, combined with air and noise p"
1202,R3,UNCERTAIN,FINAL_INCLUDE,아웃컴은 사운드스케이프 평가뿐; 진행 중 활동·이벤트가 예측변수로 등장하나 행태의 체계적 관찰·코딩 여부 발췌에 미확인,Assessing the impact of landscape context on soundscape quality in mul
1226,R1,FINAL_INCLUDE,FINAL_EXCLUDE,8월 전문평가 FINAL_INCLUDE(medium) — 불가리아 거주지 Lden × 설문 신체활동. 추가 전문평가(nft_02) 중 R1 배제 사례(779·880·1141)와 구조가 같음을 발견해 재판정,Environmental characteristics and physical activity: A cross-sectional
