uid,item,item_no,verdict,rationale
7,S.1 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 연구설계 판정 불가"
7,S.2 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 측정 정보 확인 불가"
7,S.3 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 결과자료 확인 불가"
7,S.4 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 교란 통제 확인 불가"
7,S.5 study design category not determinable,,CT,"본문 텍스트 없이 저작권 고지 3줄만 존재, 노출 시행 확인 불가"
14,3.1 participants representative of the target population,3.1,Y,"Procedure-The subjects: 20-45세 단독 보행자 포괄 선정, 거주·통행빈도 사후 점검으로 대표성 확보"
14,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"Table 1-2: dBA·보행·교통량 실측, 4개 요청별 관찰지침으로 행동 코딩"
14,3.3 complete outcome data,3.3,Y,"Table 3-5: 450+450+365=1265로 본문 총관찰수와 일치, 탈락 없음"
14,3.4 confounders accounted for in design and analysis,3.4,CT,성별·연령·단독 여부는 설계 통제하나 요일·시간대·기상 언급 없음
14,3.5 exposure/intervention administered as intended,3.5,Y,"Choice of sites: 공사 소음 85-95 dBA 실측 확인, 3조건 명확히 구현"
53,3.1 participants representative of the target population,3.1,CT,"2.1.1 Participants: 시각장애 6·5·7명 등 소표본, 모집 절차·표집틀 미기술"
53,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.1.2 Apparatus: 신호 72 dB-C·교통소음 70 dBA 교정, 측방편차 0.1 m 단위 기록"
53,3.3 complete outcome data,3.3,N,3.2 Results: 실험2 평행횡단 좌우 정보가 다수 시행에서 미기록되어 사후 대체분석 사용
53,3.4 confounders accounted for in design and analysis,3.4,Y,"2.2: 연령차를 ANCOVA로 보정, 청력 스크리닝·블록 순서 균형 배치"
53,3.5 exposure/intervention administered as intended,3.5,Y,"4.1.2: 보행신호 7초·로케이터톤 사양 규정대로 재생, 초기 정렬 ±15도 통제"
71,4.1 sampling strategy relevant to address research question,4.1,Y,"2.3 Participants: 1625가구서 18-75세 1인 선정 후 60-68 dB 노출자로 한정, 질문에 부합"
71,4.2 sample representative of the target population,4.2,CT,"2.3: 956명 중 500명만 사용하고 3개 지역 한정, 비응답자 특성 미제시"
71,4.3 measurements appropriate,4.3,Y,"2.2/2.4: LAeq,24h 실측·계산, 0-10 소음성가심 척도 등 기존 검증 문항 사용"
71,4.4 risk of nonresponse bias low,4.4,N,"2.3 Participants: 응답률 59%, 무응답자 대비 분석 없어 편의 배제 불가"
71,4.5 statistical analysis appropriate to answer research question,4.5,Y,3.2: MANOVA 가정검정(Box's M·Bartlett) 후 ANOVA·효과크기 제시
80,3.1 participants representative of the target population,3.1,Y,"19개 도시 옥외 공공공간에서 통행인보다 이용자 위주로 면접 대상을 무작위 선정해(§II) 총 10,031명(Table I)을 조사해 공간 이용자 모집단에 부합한다. 다만 거절률·표본 인구특성 분포는 보고되지 않았고 상하이 3개소(17–19)는 62–79명으로 작다."
80,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"음 수준 평가는 영어 원문을 번역한 −2~2 5점 척도이고, 행태는 조사원이 면접 중 이어폰·읽기/쓰기·보기·이동 활동(에너지 소비 5범주: 앉기·서기·걷기·아이와 놀기·운동)으로 관찰 기록했다(§II). 'watching'의 조작적 정의와 관찰자 간 신뢰도가 보고되지 않은 점은 약점이다."
80,3.3 complete outcome data,3.3,CT,"부지별 면접 수(Table I)만 있고 행태별 분석의 유효 n·결측이 보고되지 않았으며, 이어폰 분석은 착용자 10명 초과 부지로 제한됐다(§V, Table VII). 완전성을 판단할 수 없다."
80,3.4 confounders accounted for in design and analysis,3.4,N,"행태 집단 간 연령·성별·직업·교육·거주 차이를 t 검정·상관으로 확인해 해석에 반영했으나(Table VIII, X, XI) 다변량 보정은 없고, 면접마다 측정한 SPL(§II)을 분석에 넣지 않아 부지 내 위치·시간별 음압 차이가 교란으로 남는다."
80,3.5 exposure/intervention administered as intended,3.5,Y,행태는 자연 발생 노출로 면접 시점에 조사원이 기록했고 음 수준 평가·SPL 측정도 같은 면접 중 또는 직후에 이뤄져(§II) 노출 기록이 계획대로 결과 평가와 같은 시점에 수행됐다.
104,4.1 sampling strategy relevant to address research question,4.1,Y,"도시 중심·주거지·관광지·철도역 4개 입지 유형에 걸친 6개국 19개 옥외공간을 조사해(§II.A, Table I) 사이트별·유형별 예측모형 구축이라는 연구질문에 부합한다. 다만 사이트 안 응답자 모집 방식은 본문에 없고 선행문헌(참고문헌 3·8·28)에 위임했다."
104,4.2 sample representative of the target population,4.2,CT,"응답자 선정 절차와 이용자 모집단과의 비교가 보고되지 않았고, 중국 3개 사이트는 62–79명으로 작다(Table I). 대표성을 판단할 수 없다."
104,4.3 measurements appropriate,4.3,Y,"각 면접 직전·직후 다중센서 측정국으로 1분 SPL(dBA)·기온·풍속·습도·조도를 측정했고(§II.A), 음량·쾌적성 평가 척도와 행태 항목 범주를 정의했다(Table II). 행태 항목은 이분·범주형 단순 문항이다."
104,4.4 risk of nonresponse bias low,4.4,CT,응답률·거절 수가 보고되지 않았다.
