no,label,r,n,v_override,src,status,reason
1076,Guo 2024 (사운드스케이프 쾌적성 ↔ 정적 행태),0.564,419,,잠재변수 상관,include,
1221,Zhou 2026 (자연음 사건빈도 ↔ 대기시간),0.209,315,,Spearman,include,
1177,"Mansouri 2025 Béjaïa (음향쾌적 ↔ 보행쾌적, 오전)",0.4,,0.037658,"Spearman rho=0.40, p=0.033, 95% CI [0.05, 0.67]",include,"n 미보고 — 보고된 CI 에서 Fisher-z 분산 역산. n=58 은 사운드워크 참가자 수이지 상관의 분석단위가 아니며, n=58 이면 p=.0017 로 원문 p=.033 과 불일치(역산 분산 사용 시 p=.029 로 정합)"
980,Bao 2023 (체류시간 ↔ 회복 지각),0.551,180,,PRSS 상관,include,
1018,Lai 2024 (행태상태별 지각-만족 상관),,,,"NR — 원문 Table 4 는 지각↔만족 상관을 행태상태별로 층화한 것",exclude,"추출표 effect_stats 가 NR. 종전 입력값 r=.36/n=310 은 원문에 없는 조합이며(앉은 군 n=310, 걷는 군 n=556) 풀링 단계에서 만들어진 값이다. 아웃컴도 행태가 아니라 만족도라 클러스터 프레임에 맞지 않는다"
80,"Yu & Kang 2008 (이동 활동 강도 ↔ 음량 평가, 19개 사이트)",-0.0126777908,10031,0.0016087343,Spearman rho 19개 사이트(Table IX) — 논문 내 평균(ρ=0.5),include,2026-09-18 추가 전문평가분. 사이트별 rho(Table IX)·응답자 수(Table I)에서 z̄ 와 분산을 계산(ma_update_effects.py). n 은 19개 사이트 합이며 분산은 v_override 가 정본. 104·123 과 같은 설문 — D5-5 에 따라 이 클러스터에는 80 한 편만
104,Yu & Kang 2009 (방문빈도·동행·이동 상태 ↔ 음량 평가),,,,Spearman/Pearson 19개 사이트(Table III),exclude,"80 과 동일 표본(19개 사이트 설문, B4 값이 80 Table IX 와 같다) — D5-5 한 편만. 참고 합성값은 ma_update_effects.csv"
CT0171,Yang et al. 2021 (군중밀도 ↔ 인간음 지각 비율),,,,Spearman 0.302 (N=67) · 0.553 (N=56),exclude,애매 → 민감도 전용. 군중밀도가 측정점 평균(7곳·2곳)인데 N 은 응답자 — 행태 변수의 독립 단위보다 n 이 크다(CT0126 은 측정점 N=29 를 채택). 넣었다면의 값은 ma_update_effects.csv·ma_v2_raw.json
1305,Reuß & Huth 2026 (자연음 중요도 ↔ 악천후 그린운동),,,,"Spearman 5개(Table 4), n=408",exclude,애매 → 민감도 전용. 소리 쪽 변수가 장소 음환경의 지각이 아니라 자연음의 중요도(태도) 평정
713,Ma et al. 2021 (방문빈도 → 좋은 사운드스케이프 선호),,,,"단계적 회귀 B 0.17 (SE 0.07), n=150",exclude,애매 → 민감도 전용. 결과가 선호 평정이고 쾌적성 지각을 통제한 단계적 회귀의 부분효과(규약 §1 주의 경로)
499,Song et al. 2018 (방문빈도 ↔ 음 요소 선호),,,,Spearman 12개(Table 3),exclude,"n 미보고(1,260 이면 유의 표기와 불일치) — 규약 §4. 소리 쪽도 선호 변수"
1218,Huang et al. 2026 (음원 유형 ↔ SOPARC 행태),,,,FDR 보정 Spearman(그림만)·교호작용 회귀,exclude,"상관계수 미보고(Fig. 12 만), 회귀 n 미보고 — 규약 §4·§5"
