rec,verdict,reason_code,note,openalex_id,route,tier,year,journal,doi,title
1,CANDIDATE,,군중밀도가 보행가로 음환경 형성 — 역방향 행태-음환경,W1978275579,backward,T1,2014,The Science of The Total Environment,10.1016/j.scitotenv.2014.12.060,The influence of crowd density on the sound environment of commercial pedestrian streets
2,EXCLUDE,E1,도시숲 조류 활동 대상 생태음향,W3081674090,backward,T1,2020,Urban forestry & urban greening,10.1016/j.ufug.2020.126822,Soundscape mapping for spatial-temporal estimate on bird activities in urban forests
3,EXCLUDE,E4,주거지 교통소음 지각만 다룸,W2604196963,forward,T1,2017,The Journal of the Acoustical Society of America,10.1121/1.4979336,The effects of neighborhood views containing multiple environmental features on road traffic noise perception at dwellings
4,EXCLUDE,E4,가로녹시율-음향쾌적성 지각 결과만,W4383222023,forward,T1,2023,Landscape and Urban Planning,10.1016/j.landurbplan.2023.104839,How visible street greenery moderates traffic noise to improve acoustic comfort in pedestrian environments
5,EXCLUDE,E4,시청각 지각특성·환경건강 평가만,W4362468275,backward,T1,2023,Frontiers in Psychology,10.3389/fpsyg.2023.1122639,"The effects of audio-visual perceptual characteristics on environmental health of pedestrian streets with traffic noise: A case study in Dalian, China"
6,EXCLUDE,E4,크라우드센싱 소음 모니터링·정책 활용,W2963659889,forward,T1,2019,Cities & Health,10.1080/23748834.2019.1617656,Mobile crowd-sensing as a resource for contextualized urban public policies: a study using three use cases on noise and soundscape monitoring
7,CANDIDATE,,공원 체류시간(길이)과 음환경 지각 연계,W4389279216,forward,T1,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100728,Do soundscape perceptions vary over length of stay within urban parks?
8,EXCLUDE,E4,캠퍼스 쾌적성 지도화 방법만,W4391326754,forward,T1,2024,Noise Mapping,10.1515/noise-2022-0178,Soundscape maps of pleasantness in a university campus by crowd-sourced measurements interpolation
9,EXCLUDE,E4,새소리·소음의 지각 영향만,W4409885284,forward,T1,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128838,"Urban dwellers' perceptions of soundscapes and landscapes: Impacts of birdsongs and noises, and moderation by demographic characteristics"
10,MAYBE,,보행자 대상 소음영향 — 결과변수 성격 불명,W4413295134,forward,T1,2025,Building and Environment,10.1016/j.buildenv.2025.113572,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians
11,EXCLUDE,E4,건물높이-음환경 물리적 분석,W7164577581,forward,T1,2026,The Journal of the Acoustical Society of America,10.1121/10.0044150,Effects of symmetric building heights along streets on the sound environment of pedestrian spaces
12,EXCLUDE,E5,질적연구 종합 리뷰,W2043268771,backward,T2,2010,Health & Place,10.1016/j.healthplace.2010.03.003,Characteristics of urban parks associated with park use and physical activity: A review of qualitative research
13,EXCLUDE,E2,실내 슈퍼마켓 배경음악 실험,W4248953259,backward,T2,1982,Journal of Marketing,10.2307/1251706,Using Background Music to Affect the Behavior of Supermarket Shoppers
14,EXCLUDE,E3,공원 사회적 상호작용 — 음환경 변수 없음,W1999485378,backward,T2,2009,Urban forestry & urban greening,10.1016/j.ufug.2009.11.003,Social interactions in urban parks: Stimulating social cohesion?
15,EXCLUDE,E3,공원 특성-신체활동 — 음환경 변수 없음,W2070638955,backward,T2,2008,American Journal of Public Health,10.2105/ajph.2007.129064,"Association of Park Size, Distance, and Features With Physical Activity in Neighborhood Parks"
16,EXCLUDE,E3,녹지-건강 경로 — 음환경 변수 없음,W2289130614,backward,T2,2016,Environment International,10.1016/j.envint.2016.02.029,"Green spaces and General Health: Roles of mental health status, social support, and physical activity"
17,MAYBE,,도시 공개공간 음향쾌적성 — 이용행태 병기 가능,W2115195350,backward,T2,2004,Applied Acoustics,10.1016/j.apacoust.2004.07.011,Acoustic comfort evaluation in urban open public spaces
18,MAYBE,,초기 도시 음환경 실증 — 행태 측정 여부 불확실,W2336684527,backward,T2,1969,Environment and Behavior,10.1177/001391656900100104,The Sonic Environment of Cities
19,EXCLUDE,E2,실내 슈퍼마켓 배경음악 실험(중복 레코드),W4248953259,backward,T2,1982,Journal of Marketing,10.1177/002224298204600313,Using Background Music to Affect the Behavior of Supermarket Shoppers
20,EXCLUDE,E4,의미분별척도 기반 지각 분석만,W2118286956,backward,T2,2009,Building and Environment,10.1016/j.buildenv.2009.05.014,Semantic differential analysis of the soundscape in urban open public spaces
21,MAYBE,,셰필드 광장 음선호 — 이용행태 자료 포함 가능,W2014209604,backward,T2,2005,Journal of Urban Design,10.1080/13574800500062395,Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield
22,EXCLUDE,E5,코로나 이후 도시모델 제언·리뷰,W3199144102,backward,T2,2021,Environment International,10.1016/j.envint.2021.106850,"New urban models for more sustainable, liveable and healthier cities post covid19; reducing air pollution, noise and heat island effects and increasing green space and physical activity"
23,EXCLUDE,E5,도시 사운드스케이프 개관 논문,W2131030868,backward,T2,2005,Cities,10.1016/j.cities.2005.05.003,Urban soundscapes: Experiences and knowledge
24,EXCLUDE,E4,사운드워크 기반 지각 평가만,W1976828568,backward,T2,2014,Landscape and Urban Planning,10.1016/j.landurbplan.2013.12.003,Effects of landscape on soundscape perception: Soundwalks in city parks
25,CANDIDATE,,소음수준이 도움행동에 미친 야외 현장실험,W1999714849,backward,T2,1975,Journal of Personality and Social Psychology,10.1037/0022-3514.32.4.571,Environmental noise level as a determinant of helping behavior.
26,EXCLUDE,E3,녹지-자전거 이용 — 음환경 변수 없음,W2910585180,backward,T2,2019,Cities,10.1016/j.cities.2019.01.003,Associations between overhead-view and eye-level urban greenness and cycling behaviors
27,EXCLUDE,E3,수변녹지-신체활동 — 음환경 변수 없음,W2964733904,backward,T2,2019,Environment International,10.1016/j.envint.2019.105016,"Neighbourhood blue space, health and wellbeing: The mediating role of different types of physical activity"
