rec,year,journal,doi,title,note
10,2025,Building and Environment,10.1016/j.buildenv.2025.113572,Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians,보행자 대상 소음영향 — 결과변수 성격 불명
17,2004,Applied Acoustics,10.1016/j.apacoust.2004.07.011,Acoustic comfort evaluation in urban open public spaces,도시 공개공간 음향쾌적성 — 이용행태 병기 가능
18,1969,Environment and Behavior,10.1177/001391656900100104,The Sonic Environment of Cities,초기 도시 음환경 실증 — 행태 측정 여부 불확실
34,2013,Landscape and Urban Planning,10.1016/j.landurbplan.2013.03.008,Spatiotemporal variability of soundscapes in a multiple functional urban area,음환경 시공간 변동 — 활동·용도 연계 가능
40,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá,공원 자연접촉 경험 — 음환경 포함 여부 불확실
63,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,Park attributes that encourage park visitation among adolescents: A conjoint analysis,청소년 공원방문 유인 속성 — 음환경 속성 가능
100,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment",산림공원 방문객 친환경행동 — 음환경 포함 불확실
106,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks,포장재별 발소리 — 행태 유발음이나 결과는 평가
108,2010,URBAN DESIGN International,10.1057/udi.2010.20,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS,"행태맵 기반 공간점유 관찰, 음환경 변수 확인 필요"
125,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103435,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction,"근린환경·활동 매개 생활만족도, 음환경 포함 확인 필요"
142,2017,Urban forestry & urban greening,10.1016/j.ufug.2017.08.018,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park,"공원 사운드스케이프 경제가치, 방문행태 사용 여부 확인"
