id,branch,verdict,cluster,computable,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 1 (Germany Kassel, Bahnhofsplatz): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.01/0.81 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",418 interviewees at site 1 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 2 (Germany Kassel, Florentiner): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.10/0.04 * (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",406 interviewees at site 2 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 3 (Greece Athens, Karaiskaki): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",655 interviewees at site 3 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 4 (Greece Athens, Seashore): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.06 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",848 interviewees at site 4 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 5 (Greece Thessaloniki, Kritis): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.03/0.41 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",777 interviewees at site 5 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 6 (Greece Thessaloniki, Makedonomahon): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.29 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1037 interviewees at site 6 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 7 (Italy Milan, IV Novembre): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.57 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",574 interviewees at site 7 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 8 (Italy Milan, Piazza Petazzi): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.12/0.00** (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",599 interviewees at site 8 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 9 (Switzerland Fribourg, Jardin de Perolles): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.24 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",888 interviewees at site 9 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 10 (Switzerland Fribourg, Place de la Gare): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.90 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",1041 interviewees at site 10 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
