no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
7,FINAL_INCLUDE,1978,Journal of Social Psychology,Effects of urban noise and sidewalk density upon pedestrian cooperation and tempo,NR,street,NR,NR,urban noise + sidewalk density (스캔 PDF로 본문 텍스트 미확보 — 음원·레벨·조작 구체 NR),movement; social,보행 템포(pedestrian tempo)와 협조·원조 행동(cooperation) — 구체 측정지표 NR,NR,forward,스캔 PDF로 본문 미확보 — 제목상 도시 소음과 보도 밀도가 보행자 협조행동과 보행 템포에 미치는 영향을 다루나 결과 방향·크기는 확인 불가,NR
14,FINAL_INCLUDE,1988,Journal of Environmental Psychology,Urban stress and helping behavior: Effects of environmental overload and noise on behavior,France,street,field-experiment,NR,"파리 가로에서 도로공사 소음 3조건(공사 없음 / 소음 없는 공사 / 착암기 소음이 있는 공사) × 환경 과부하 2수준의 2×3 현장실험; ambient LAeq quiet <60 vs >60 dBA, peak 70–80 dBA",social,"4종 원조요청(명시적·암묵적 × 저노력·고노력)에 대한 반응 관찰 — 무시/거절·항변/응낙, 떨어뜨린 열쇠 반환, 분실 당뇨카드 처리 단계",observation,forward,소음이 환경 과부하 성분 중 가장 큰 영향을 미쳐 암묵적 원조요청에 대한 주의성(도움 행동)을 낮추고 언어적 상호작용 거부를 증가시켰다(효과 크기 발췌 내 미제시),NR
53,FINAL_INCLUDE,2004,ERGONOMICS,Directional guidance from audible pedestrian signals for street crossing,USA,street (옥외 주차장에 설치한 16 m 모의 횡단보도),field-experiment,12 (Exp1: blind 6 + blindfolded sighted 6; Exp2·3 NR),"audible pedestrian signal 5종(chirp/cuckoo/toks/clicks/voice) 72 dB-C, 제시모드 far-end-only vs simultaneous, 평행 횡단보도 동시 신호, clearance 구간 locator tone 유무; 배경 교통소음 재생 70 dB(A)",movement,횡단 보행 궤적의 이상 직선경로 대비 lateral deviation — 중간점·종점 total error 및 constant error(veering 방향),observation,forward,"신호를 건너편 끝에서만 제시할 때 양끝 동시 제시보다 횡단 정확도가 높았고, 양끝 교대 제시는 효과가 없었으며, 평행 횡단보도 동시 신호는 반대편 쪽으로 편향을 유발하고, clearance 구간 locator tone은 정확도를 개선했다(맹인·시각차단 정상인 동일 경향)",NR
71,FINAL_INCLUDE,2007,LANDSCAPE AND URBAN PLANNING,Noise and well-being in urban residential environments:: The potential role of perceived a,Sweden,residential,survey,500 (조용한 면 접근 367 / 미접근 133),"도로교통소음 LAeq,24h 60–68 dB(최대노출 파사드, mean 62 dB·S.D. 2.14 free field), 조용한 면(LAeq,24h ≤45 dB free field) 접근 유무 2조건, 인접 녹지 이용가능성 지각 3수준",activity; space-use,주거지 주변 걷기·운동 빈도(매일/주 1회 이상/월 1회 이상/거의 없음)와 교통소음이 옥외 체류 욕구를 방해한 빈도(never/sometimes/often) 자기보고,self-report,forward,두 소음조건 모두에서 인접 녹지 이용가능성이 '좋을수록' 장기 소음 짜증과 스트레스 관련 심리사회적 증상 유병이 감소하고 옥외공간 이용(걷기·운동)이 증가했다,NR
121,FINAL_INCLUDE,2010,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effects of Changed Aircraft Noise Exposure on the Use of Outdoor Recreational Areas,Norway,recreation,natural-experiment,1264 (Bygdøy) / 1370 (Romeriksåsen) panel respondents interviewed at t1 and t2,change in aircraft noise from the 1998 relocation of Norway's main airport; old airport closed leaving high-altitude overflights and helicopters while the new airport was expanded,space-use; activity,visitor vs non-visitor status at t2; frequency of use of the area in the past three months; aircraft noise reported as a reason for not visiting,self-report (telephone interview panel before and after the change),forward,Changed aircraft noise exposure influenced individual choices to use the local outdoor recreational areas - with noise reported as a reason for non-use - but use was largely stable and also fluctuated for reasons unrelated to noise (magnitudes not in excerpt).,NR
123,FINAL_INCLUDE,2010,APPLIED ACOUSTICS,Factors influencing the sound preference in urban open spaces,Germany; Greece; Italy; Switzerland; UK; China (6개국 9도시),"square (urban open space 19곳, 일부 park·garden 포함)",mixed,NR,현장에서 확인된 음원 유형(natural/human/mechanical/instrumental sounds)과 실험실 재생음; 인터뷰 중 객관적 음 측정 및 물리 환경 기록 병행,space-use; activity,사이트 방문 빈도(first time~every day)와 방문 이유·현장 활동(시설·서비스 이용/아이 놀이·사적 만남/업무·회의·휴식/사회행사 참여/통행) — 설문조사 및 현장 관찰로 수집,self-report,reverse,"행태 요인(방문 빈도, 방문 이유)이 sound preference 평가에 미치는 영향은 일부 사이트·특정 음종을 제외하면 대체로 유의하지 않았고, 연령과 교육수준이 보편적으로 유의한 요인이었다",NR
271,FINAL_INCLUDE,2014,International Journal of Interdisciplinary Social and Commun,Towards an evidence-based model for assessing urban squares as social places,Australia,square,mixed,NR (3주간 관찰; 이용자 수는 Figure 3에만 제시),"Oxford Square 현장 사운드스케이프 — 음향 녹음 기반 물리 측정과 기술적·경험적·정신음향적 지각 측정 병행; 물리·지각 측정 모두 높은 음압수준 확인, 인공·자연·기계음 혼재",movement; staying; space-use,"behaviour mapping — 보행 경로(desire line), 시간대별 보행량, 주요 활동별 관찰 건수, 계단·화단 연석 착석 및 체류 지속, 성별·집단 크기별 이용자 수",observation,forward,"높은 소음을 포함한 감각 조건이 장시간 체류를 저해해 광장은 주로 3개 가로를 잇는 통과 링크로만 기능했고 착석은 있어도 오래 머무르지 않았으며, 사운드스케이프가 광장 이용에 가장 큰 영향을 미치는 감각 요소로 확인됐다",NR
323,FINAL_INCLUDE,2016,APPLIED SCIENCES-BASEL,An Experimental Study on the Influence of Soundscapes on People's Behaviour in an Open Pub,United Kingdom,campus,field-experiment,NR (five consecutive working days of covert video observation of a campus concourse),three instrumental music excerpts (classical / jazz / ambient electronic) vs a no-music control played over two loudspeakers; background level profiled with ten microphones and SPL propagation simulated as homogeneous across the observation area,staying; space-use,number of people stopping in the observation area; duration of stay in seconds coded from a BORIS ethogram,observation (covert video recording),forward,The presence of music had no effect on the number of people stopping but a statistically significant positive effect on the duration of stay of those who stopped (magnitude not in excerpt).,NR
341,FINAL_INCLUDE,2016,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of sound-related activities on human behaviours and acoustic comfort in urban open ,China,"park (송화강 수변 Stalin park, 보행가로형)",mixed,"NR (상황별 10–15개 그룹 영상, 각 3–5분)","음원 관련 활동 7종 — music-related(Folk Dancing, Zombie Dancing, Qing Gong, Tai Ji) 4종과 human sound-related(Whip Whipping, Roller Skidding, Playing Cards) 3종; 활동 유형·참여 인원(1–3명 vs 6명 초과) 및 aural-visual 4조건(음·활동 유무 조합)",movement; staying; activity,"활동 구역 외곽 0–10 m 내 보행자 행동 4종의 비율 — standing and watching, passing by, performing exercises, sitting (현장 영상 촬영 후 실험실에서 코딩)",observation,both,"음악 관련 활동은 통과 보행자의 5.1–21.5%를 서서 구경하는 행동으로 전환시킨 반면 운동 행동에는 영향이 작았고, 참여 인원이 1–3명이면 보행자 행동 영향이 미미하나 6명 초과 시 뚜렷했으며, 역방향으로 이 활동들이 음압을 9.6–16.4 dBA 상승시켰다",music-related activities caused 5.1–21.5% of persons who pass by the area to stand and watch; sound level increase 10.8 to 16.4 dBA (music-related) and 9.6 to 12.8 dBA (RS·PC)
372,FINAL_INCLUDE,2016,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,The Role of Soundscape in Nature-Based Rehabilitation: A Patient Perspective,Sweden,"campus (Alnarp rehabilitation garden - SLU 캠퍼스 내 2 ha 설계 치유정원, 프로그램 참가자 한정 접근)",survey (회고적 반구조화 인터뷰 59건 · Interpretative Phenomenological Analysis),"59 (사운드 언급 27명; 여성 50·남성 9, 25-62세)","재활정원 사운드스케이프 — 자연음(바람에 흔들리는 식생·연못과 폭포 물소리·새소리)·기술음(약 0.6 km 동쪽 E6 고속도로 교통소음, 지자체 LAeq 24h 소음지도 제시)·인간음(치료사와 동료 목소리·자갈길 발소리); 현장 음압 실측은 없음",space-use; staying; movement; social,"정원 내 체류 장소 선택·회피(소음 최소 구역 선택, 연못 물소리 곁 체류), 포장재별 보행 속도 변화, 사회적 접근·회피(자갈길 발소리 경고 활용·흡연구역 은신처화·사교/사적 구역의 암묵적 코드)",self-report (semi-structured interviews),forward,"환자들은 소리 특성에 따라 정원 내 자리를 의도적으로 선택·회피했고(고속도로 소음이 가장 적은 구역 선택 vs 연못 물소리 곁 체류), 자갈길 발소리가 타인의 접근을 미리 알려 사회적 회피를 가능하게 했으며, 딱딱한 자갈에서 나무 데크로 바뀔 때 보행 속도가 느려졌다",NR (질적 IPA 연구 · 통계량 보고 없음)
