lever_id,lever_en,lever_ko,mechanism,behaviour_outcome,direction,evidence_studies,n_studies,quality_mix,effect_summary,confidence,caveat,planning_scale
L1,Programmed music in public space,공공공간 음악·오디오 프로그래밍(스피커·음악분수·이용자 조작형 설치),음원이 주의를 끌어 접근·감속을 유도하고 머무는 시간을 늘린다,체류(지속시간)·공간이용(음원 접근)·이동(배회 감속),promotes,323;481;566;665;971;984;1178,7,high 3 · mod 2 · low 2,"MA2 k=3, g=+0.343 (95% CI -0.091~+0.778, p=0.077, CI 0 포함); 음악 하위스트림 민감도 k=2, g=-0.597, I2=97.2% — k=2라 HK 구간 해석 불가; 481 배회속도 -0.296 m/s; 984 체류의향 68.3% vs 56.7%",moderate,323은 멈추는 인원수엔 무효과; 665는 음악 SPL이 11 dB 높아 교락; 속도 효과는 템포·전달방식에 따라 부호가 뒤집힌다,site
L2,Natural sound provision (water and birdsong),자연음 도입(수경시설·조류 유치 식재·자연음 재생),자연음이 회복감과 안전감을 높여 대화와 머무름을 촉진한다,사회적 상호작용·체류(체류시간)·활동 활력,promotes,372;931;964;1069;1280;CT0414;1191,7,high 2 · mod 3 · low 2,"MA3 k=4, g=+0.679 (95% CI +0.201~+1.158, p=0.020)이나 자연음 대비 기여는 931·1069 2건뿐이고 자연음 단독은 k=2라 HK 구간 해석 불가; 1069 쌍 상호작용 +16.3%·집단 +16.6%; 931 인원·총시간 약 +10%; CT0414 청각공간의 사회적 상호작용 비중 53.8%(chi2=407.076)",moderate,근거는 대부분 스피커 재생; MA3 유의화는 자연음이 아니라 소음 제거 쪽 신규 연구에서 왔다,site
L3,Quiet routes for walking and cycling,보행·자전거 정온 경로 확보(교통 차폐·우회 노선 지정),소음 회피가 경로·수단 선택을 바꿔 통행이 조용한 노선으로 이동한다,이동(경로 선택·수단 선택·자전거 통행량),promotes,746;833;1005;1110;1115;1177;1232;1306;1190,9,high 5 · mod 1 · low 3,narrative only (1005 우회 노선 -10 dB(A)에 +4분 소요; 1177 음향쾌적-보행쾌적 rho=0.40; 1110·1306은 SHAP 중요도만),moderate,효과크기 풀링 불가; 1110·1306 음향지표는 스트리트뷰 예측치이며 1115는 런던·브리즈번 간 결과가 갈린다,district
L4,Remove or reschedule mechanical plant noise,기계·유지관리 소음 제거·차폐·시간대 조정(환기팬·예초·공사),불쾌한 기계음이 회피 경로와 가속을 유발해 체류와 대화를 끊는다,사회적 상호작용·체류·공간이용(회피 경로 해소),promotes,14;665;760;971;979;1178;CT0025,7,high 2 · mod 3 · low 2,"MA3 k=4, g=+0.679 (95% CI +0.201~+1.158, p=0.020) 기여 4건 중 2건이 이 레버 — 14 g=+0.432, CT0025 g=+1.073 (잔디깎기 87 dB(C) vs 주변 50 dB(C)에서 도움 12.5% vs 50%, F(1,76)=20.00); MA3에 low 기여가 없어 저품질 제외에도 불변; 665·1178 팬 소음은 경로 이탈·속도 증가·체류 단축",moderate,정량 근거는 helping 2건뿐; 665·1178 팬음은 최대짜증 선정 상한값; 931 재생 공사소음은 상호작용에 무효,site
L5,Quiet side and designated quiet zones,주거·공원 정온면·정온구역 확보(배치·차폐·소음지도 기반 지정),정온한 면과 구역이 옥외 체류와 걷기의 심리적 장벽을 낮춘다,활동(걷기·운동·휴식)·공간이용·체류,mixed,71;121;271;494;539;560;930;951;CT0175;709,10,high 2 · mod 4 · low 4,"narrative only (539 정온환경 향유 동기-선호 rho=0.323; 121은 소음이 비이용 사유이나 이용량 자체는 대체로 안정); CT0175 지각 음량의 방문빈도 예측 비유의(LR chi2=15.45, df=9, p=0.08); MA2에 방문빈도(CT0175)를 넣으면 k=4, g=+0.248 (95% CI -0.428~+0.924, p=0.327)로 약화",low,951은 부호가 반대(접근성 교락); CT0175에서 지각 음량·정온가치는 방문빈도를 예측하지 못했다,district
L6,Acoustic zoning and enclosure of functions,활동 기능의 음향 구역화·위요도 조절(시장 존 분리·광장 개방도),소음 발생 기능을 분리하고 위요하면 인접 활동의 밀도와 상호작용이 달라진다,공간이용(군중밀도)·사회적 상호작용(빈도·지속)·체류,mixed,406;480;1018;1258;CT0001;CT0348;CT0171,7,high 1 · mod 5 · low 1,"narrative only (406 구역화 없는 시장은 SPL +2.4 dBA·loudness +0.21); 밀도-음압 예측식 3종 — 480 밀도 +0.1인/m2당 SPL +1.3~2.2 dBA, CT0001 LAeq=33.74d+67.12 (R2=0.401, d>0.05인/m2), CT0348 개별 음원레벨 60.75+7.41d dBA (R2=0.9966); CT0001 음향쾌적 최적 밀도 0.10~0.25인/m2",low,1258은 위요도에 따라 부호가 뒤집힘; 밀도-SPL 계수는 연구마다 정의·크기가 달라 이전 불가,street
L7,Programming sound-generating public activities,소리를 만드는 활동 프로그래밍(무용·공연·시장·이용자 조작형 음향설치),사람의 소리와 활동이 구경과 합류를 유발해 통과를 체류로 바꾼다,체류(구경·머무름)·사회적 상호작용·공간이용,promotes,341;480;566;724;862;CT0137;OAS0011;OAS0041;1218;888,10,high 2 · mod 4 · low 4,"narrative only (341 통과 보행자의 5.1~21.5%가 서서 구경으로 전환하며 동시에 SPL 9.6~16.4 dBA 상승); CT0137 광장무는 스피커 1 m LAeq를 59.6~64.0에서 87.5~104.4 dBA로 올렸고 규칙 참여와 관람 즐김의 연관은 chi2=39.27, phi=0.37, p<0.001",low,341은 주요 행태에 검정 없음; CT0137의 광장무는 1 m에서 104 dBA로 인접 이용자와 충돌,site
L8,Auditory guidance and warning signals,음향 유도·경고 신호 설계(음향 보행신호기·차량 접근 경고음),방향성 있는 신호음이 횡단 궤적과 반응 시점을 직접 조정한다,이동(횡단 정확도·탐지 시점·감속 완만도),mixed,53;661;1272;CT0371;CT0391,5,high 1 · mod 3 · low 1,narrative only (53 건너편 단독 제시와 클리어런스 로케이터음이 정확도 개선; 1272 청각경고 추가 시 조기 탐지·완만한 감속); CT0371 실제 교차로 6개 횡단회랑 간 GPS 궤적 안전수준 차이 없음(궤적 자기수정 성공 48.4%),low,53의 규격은 모의 횡단 결과; CT0371 실제 교차로에서는 구성 간 궤적 안전 차이가 없었다,street
L9,Slowing pedestrian pace by natural sound,자연음 도입·교통소음 저감을 통한 보행 감속,소음은 회피를 유발해 통과를 가속하고 자연음은 그 가속을 되돌린다,이동(보행속도),mixed,461;532;617;941;CT0166,5,high 1 · low 4,"MA1 k=3, g=-0.474 (95% CI -2.055~+1.108, p=0.326, CI 0 포함, I2=81.4%) 인용추적 후에도 불변; 저품질 제외 시 k=0; 기여 4건 중 3건이 헤드폰 재생; CT0166(high)은 지각 소음이 가장 낮은 구간에서 보행이 가장 느렸으나 소음-속도 직접 검정 없음; 941 1.24 m/s에서 1.18 m/s",very low,기여 4건 전부 MMAT low이고 3건이 헤드폰 재생; 신규 고품질 3편은 노출이 다르거나 직접 검정이 없다,street
L10,Speech-interference criteria for siting social space,사회적 공간 입지에 대화 가능 음환경(회화 간섭) 기준 적용,소음이 회화를 방해해 대화 중단·발성 증대를 강요하고 언어적 상호작용 자체를 회피하게 만든다,사회적 상호작용(대화 지속·발성 노력)·언어적 상호작용 수용,promotes,14;979;CT0126,3,high 2 · mod 1,"CT0126 LAeq와 대면 대화 중단 r=0.63·발성 증대 r=0.65 (표본 29개 지점, p<0.001), LAeq 1 dB당 발성 증대 +0.25점(0~10 척도), R2=0.42; 14는 착암기 소음에서 언어적 상호작용 거부 증가; 979는 강한 가로 소음 직후 대화 이탈과 29초 침묵",low,용량-반응은 스페인 단일 표본(CT0322와 동일 데이터)·자기보고이며 관찰된 대화 행동으로 검증되지 않았다,street
