no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
883,other,Noticing bird sounds (binary: a little/a lot vs not at all),"Park use (visited a park in last 2 weeks) vs not - behaviour is PREDICTOR of sound perception (reverse direction; outcome is perceptual, not acoustic)",regression,"OR = 1.71, 95% CI = 1.25, 2.33, ***p < 0.001","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,"park use (OR = 1.71, CI = 1.25, 2.33)",YES
883,other,Noticing bird sounds,"Value parks - exercise (walk/jog/exercise, cycle, dog walking) vs not",regression,"OR = 1.83, 95% CI = 1.45, 2.30, ***p < 0.001","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,"for exercise (OR = 1.83, CI = 1.45, 2.30)",YES
883,other,Noticing bird sounds,Value parks - socialise / place for children to play vs not,regression,"OR = 1.40, 95% CI = 1.07, 1.84, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,"to socialise/a place of their children to play (OR = 1.40, CI = 1.07, 1.84)",YES
883,other,Perceived pleasantness of bird sounds (binary),Value parks - exercise vs not,regression,"OR = 1.35, 95% CI = 1.10, 1.66, **p < 0.01","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,"for exercise (OR = 1.35, CI = 1.10, 1.66)",YES
883,other,Perceived pleasantness of bird sounds (binary),Value parks - socialise / children play vs not,regression,"OR = 1.36, 95% CI = 1.06, 1.75, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,"to socialise/a place of their children to play (OR = 1.36, CI = 1.06, 1.75)",YES
883,other,Noticing traffic sounds (binary),Value parks - exercise vs not,regression,"OR = 1.19, 95% CI = 1.02, 1.38, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.4 / Table 2,Those valuing parks to exercise were more likely to notice traffic sounds (OR = 1.19),YES
883,other,Perceived unpleasantness of traffic sounds (binary),Park use (used parks more frequently) vs not,regression,"OR = 0.78, 95% CI = 0.62, 0.94, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.4 / Table 2,"those who used parks more frequently (OR = 0.78, CI = 0.62, 0.94), less likely",YES
883,other,Perceived unpleasantness of traffic sounds (binary),Value parks - socialise / children play vs not,regression,"OR = 0.75, 95% CI = 0.60, 0.94, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.4 / Table 2,valuing parks to socialise/for a place for children to play (OR = 0.75),YES
883,space-use,Noticing bird sounds,Subjective 10 min walk to nearest park (proximity) vs further,regression,"OR = 1.48, 95% CI = 1.08, 2.03 (no significance star reported in Table 1)","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.3 / Table 1,Proximity to urban parks influenced noticing bird sounds (odds ratio (OR) = 1.48),YES
883,space-use,Perceived unpleasantness of traffic sounds,Residing within a 10 min walk of a park vs further,regression,"OR = 0.75, 95% CI = 0.60, 0.95, *p < 0.05","N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.4 / Table 2,"participants residing within a 10 min walk to a park (OR = 0.75, CI = 0.60, 0.95)",YES
