no,item,verdict,rationale
406,3.1,CT,2.3 설문 응답자를 무작위 선정하고 연령·소득 구간별 30명 이상 할당했으나 총 표본 수 미보고·단일 시장
406,3.2,Y,2.4 LAeq 10초 간격 5분 측정과 반사면 1m 이격 준수·2.2 사진 격자법 군집밀도·설문 신뢰도 타당도 사전 검토
406,3.3,CT,3장 결과가 회귀곡선 위주로 제시되고 응답 수와 결측 처리에 대한 언급이 전혀 없음
406,3.4,Y,2.1에서 7·9월 측정으로 온습도 통제·17~18시 고정·차도 35m 이격·행태 차이는 예비조사 근거로 배제
406,3.5,Y,2.1 시장 운영일(월~수)과 휴장일(목~금)을 구분 측정하고 8월 구역화 전후 2회 실측함
435,1.1,Y,Research methodology에서 소리기억과 공간의 사회적 구성 탐구에 민족지와 내러티브 분석 결합이 적합함
435,1.2,Y,Research methodology에 전 거주 유대인 5명·무슬림 5명 심층 반구조화 인터뷰와 관찰·페르시아어 진행 후 번역 기술
435,1.3,Y,Fieldwork findings 전반에서 화자별 인용문에 근거해 공/사 경계와 권력관계 해석을 도출함
435,1.4,Y,Fieldwork findings에 발화 톤·침묵 등 관찰 근거와 연구자 위치성 성찰을 함께 제시함
435,1.5,CT,Research methodology에 코딩·주제분석 등 분석 절차가 없어 자료와 해석의 일관성을 확인할 수 없음
461,2.1,CT,2.3에 조건 무작위 배정과 블록별 성별 균형만 기술되고 난수 생성·배정 은폐 절차가 없음
461,2.2,CT,2.2/2.3에 조건별 성비만 제시되고(대조군 17:9) 연령 등 기저 특성의 군간 비교가 없음
461,2.3,Y,3.1 분석에 배정된 83명 전원이 포함되고 탈락이나 결측 보고가 없음
461,2.4,CT,2.5에서 Elan으로 영상 구간을 표기한 평가자의 조건 눈가림 여부가 보고되지 않음
461,2.5,Y,2.7 개별 5분 간격 출발·경로 화살표 표시·정지 및 대화 금지 지시로 중재 이행을 관리함
469,4.1,Y,Study sites에서 10명당 1명 계통표집으로 동일 단체 중복을 줄이고 주요 경관지 전역에 700부 배포함
469,4.2,Y,Study sites에 표적모집단을 국내 성인 관광객으로 명시하고 566명이 연령·직업·출신지에서 분산을 확보함
469,4.3,Y,Instrument development에 검증 척도 차용·전문가 3인 검토·예비조사 100명 Cronbach 0.65~0.80·CR과 AVE 기준 충족
469,4.4,Y,Study sites에 700부 중 566부 회수로 유효응답률 80.9%가 보고됨
469,4.5,Y,Research method에서 소표본 조절효과에 PLS-SEM을 적용하고 Harman 단일요인검정으로 공통방법편의를 점검함
480,3.1,CT,2.6 설문은 5153명 무작위 배포이나 18~55세로 연령이 제한되고 중국 남북 2개 상업가로에 한정됨
480,3.2,Y,2.3~2.6 드론 사진 군집밀도·HDV 대화자 수·5지점 A가중 측정·설문 Cronbach 0.86과 KMO 0.81 보고
480,3.3,CT,2.6과 Table 2에 응답 수는 있으나 배포 대비 회수율과 결측 처리가 보고되지 않음
480,3.4,Y,2.1/2.2에서 계절·기능은 동일 가로 내 비교·개방도는 Sp존끼리 대조·차도 20m 이격·주중과 주말 병행
480,3.5,Y,2.1에서 개방도·계절·상업기능이 실제 현장 조건대로 유지됨을 사진과 실측으로 확인함
481,3.1,CT,Statistical analysis에서 UAV 영상으로 표본을 추출했고 하얼빈 단일 광장·성비 맞춤 선별로 대표성 불확실
481,3.2,Y,Measurement of sound environment에 6m 격자 LAeq 실측·UAV 100m 고도 관찰·좌표 기반 속도 산출이 기술됨
481,3.3,Y,Statistical analysis에 통과 48·배회 80·착석 120 표본 전수 분석과 검정력 0.60~0.87이 보고됨
481,3.4,Y,Survey site에서 동일 광장 음악과 무음을 순환 재생하고 5·9월 온습도와 조도 시간대를 통제하며 성별 효과도 검정함
481,3.5,Y,Sound source에 88~90dBA 스피커로 광장 전역 가청을 확인하고 배경 56.7dBA 대비를 실측 검증함
492,5.1,Y,MATERIALS AND METHODS에서 Creswell을 인용해 단일방법으로 포착 못 하는 이용자-음환경 관계 규명을 혼합설계 근거로 제시함
492,5.2,Y,Data Analysis에 폐쇄형 통계분석 후 개방형 질적분석을 순차 통합하고 행태지도로 공간 맥락을 결합함
492,5.3,Y,DISCUSSION에서 통합 산출물을 방법론·실증·정책 세 기여로 해석하고 한계까지 제시함
492,5.4,CT,DISCUSSION은 질적 결과가 양적 추세를 보완했다고만 서술하고 양-질 결과 불일치 사례를 명시적으로 다루지 않음
492,5.5,CT,Questionnaire protocol과 Qualitative Analysis에서 착석 협조자 편의표집·단일문항 리커트 한계 자인·코더 간 신뢰도 미보고
494,4.1,Y,2.2 Surveys에서 7개 녹지 성인 이용자를 무작위 표집하고 지구·표본점·규모·방문자 수 기준으로 배분함
494,4.2,Y,Table 2에서 표본의 성·연령·학력·직업 분포를 카세레스 인구통계와 대조해 유사성을 확인함
494,4.3,Y,2.2/2.3에 3개 차원 Cronbach 0.79/0.70/0.81과 ISO 1996-2 준거 1.5m 10분 측정 및 양이 녹음이 기술됨
494,4.4,CT,2.2 Surveys에 유효 설문 182부만 제시되고 접촉 대비 거절률이나 무응답 편의 분석이 없음
494,4.5,Y,2.4 통계분석에서 Mann-Whitney·계층적 군집분석·상관과 다항 로지스틱 회귀로 만족도 71.4%를 설명함
520,1.1,Y,Methods에서 활동별 청각환경 기술 방식 탐색에 자유서술 기반 내용분석 접근이 적합함
520,1.2,Y,3.1 Data collection에 4개 개방형 문항·92명 서면 응답·2개 구역 4회 세션·네덜란드어 원어민 한정이 기술됨
520,1.3,Y,4. Results에서 의미 3수준과 구문 1수준 코딩틀 적용 결과를 도표와 실제 응답 인용으로 제시함
520,1.4,CT,4. Results는 활동군당 3~20명 소규모 셀의 비율 차이만으로 통계 검정 없이 경향을 추론함
520,1.5,Y,3.2 Data processing에 자유서술 수집에서 내용분석·분류틀 코딩·활동군 대조로 이어지는 절차가 일관됨
532,2.1,CT,Procedure에 조건 무작위 배정과 블록별 성별·신장 균형만 있고 무작위화 절차와 배정 은폐 기술이 없음
532,2.2,CT,Participants에 전체 연령과 성비만 있고 실험1 27/31/29·실험2 19/24/22 조건별 기저 특성 비교가 없음
532,2.3,CT,Data analysis에서 보행속도는 전수 분석이나 보행경험 설문 무응답자를 수 미보고한 채 제외함(F2,70)
532,2.4,CT,Measurement of walking speed에서 Elan 구간 표기 평가자의 조건 눈가림 여부가 보고되지 않음
532,2.5,Y,Procedure에 개별 보행·화살표 경로 표시·정지 및 대화 금지 지시로 중재 이행을 관리함
539,4.1,Y,2.1 Field survey에서 4개 녹지 이용자를 무작위 선정해 각 100부씩 총 400부로 선행 권고 표본을 충족함
539,4.2,CT,2.2에서 고학력 편중을 저자가 자인하고 6~7월 맑은 날 주간·정온지역 4곳으로 범위가 제한됨
539,4.3,CT,2.4 Soundscape data에서 발생·크기·선호를 3점 척도로 장기 회상 평가하고 신뢰도 타당도 검증이 없음
539,4.4,CT,2.1 Field survey에 유효 400부만 보고되고 접촉 대비 거절률과 무응답 편의 분석이 없음
539,4.5,Y,3. Results에서 순서형 자료 특성에 맞는 Spearman rho 상관분석을 적용하고 유의수준을 명시함
