uid,source,final_verdict,orig_id
7,db-search,FINAL_INCLUDE,7
14,db-search,FINAL_INCLUDE,14
22,db-search,FINAL_EXCLUDE,22
29,db-search,FINAL_EXCLUDE,29
46,db-search,FINAL_EXCLUDE,46
53,db-search,FINAL_INCLUDE,53
55,db-search,FINAL_EXCLUDE,55
68,db-search,FINAL_EXCLUDE,68
71,db-search,FINAL_INCLUDE,71
80,db-search,FINAL_INCLUDE,80
89,db-search,FINAL_EXCLUDE,89
94,db-search,FINAL_EXCLUDE,94
103,db-search,FINAL_EXCLUDE,103
104,db-search,FINAL_INCLUDE,104
121,db-search,FINAL_INCLUDE,121
123,db-search,FINAL_INCLUDE,123
137,db-search,FINAL_INCLUDE,137
186,db-search,FINAL_EXCLUDE,186
188,db-search,FINAL_EXCLUDE,188
194,db-search,FINAL_EXCLUDE,194
234,db-search,FINAL_EXCLUDE,234
240,db-search,FINAL_EXCLUDE,240
251,db-search,FINAL_EXCLUDE,251
268,db-search,FINAL_EXCLUDE,268
271,db-search,FINAL_INCLUDE,271
301,db-search,FINAL_EXCLUDE,301
323,db-search,FINAL_INCLUDE,323
341,db-search,FINAL_INCLUDE,341
351,db-search,FINAL_EXCLUDE,351
357,db-search,FINAL_EXCLUDE,357
372,db-search,FINAL_INCLUDE,372
378,db-search,FINAL_EXCLUDE,378
379,db-search,FINAL_INCLUDE,379
387,db-search,FINAL_EXCLUDE,387
406,db-search,FINAL_INCLUDE,406
411,db-search,FINAL_EXCLUDE,411
412,db-search,FINAL_EXCLUDE,412
433,db-search,FINAL_EXCLUDE,433
435,db-search,FINAL_INCLUDE,435
444,db-search,FINAL_EXCLUDE,444
461,db-search,FINAL_INCLUDE,461
469,db-search,SENS_ONLY,469
480,db-search,FINAL_INCLUDE,480
481,db-search,FINAL_INCLUDE,481
484,db-search,FINAL_EXCLUDE,484
485,db-search,FINAL_EXCLUDE,485
489,db-search,FINAL_EXCLUDE,489
492,db-search,FINAL_INCLUDE,492
494,db-search,FINAL_INCLUDE,494
499,db-search,FINAL_INCLUDE,499
509,db-search,FINAL_EXCLUDE,509
512,db-search,FINAL_EXCLUDE,512
520,db-search,FINAL_INCLUDE,520
532,db-search,FINAL_INCLUDE,532
539,db-search,FINAL_INCLUDE,539
556,db-search,FINAL_EXCLUDE,556
559,db-search,FINAL_EXCLUDE,559
560,db-search,FINAL_INCLUDE,560
562,db-search,SENS_ONLY,562
566,db-search,FINAL_INCLUDE,566
569,db-search,FINAL_EXCLUDE,569
599,db-search,FINAL_EXCLUDE,599
602,db-search,FINAL_INCLUDE,602
613,db-search,FINAL_EXCLUDE,613
615,db-search,FINAL_EXCLUDE,615
617,db-search,FINAL_INCLUDE,617
623,db-search,FINAL_EXCLUDE,623
624,db-search,FINAL_EXCLUDE,624
639,db-search,FINAL_EXCLUDE,639
648,db-search,FINAL_EXCLUDE,648
661,db-search,FINAL_INCLUDE,661
665,db-search,FINAL_INCLUDE,665
666,db-search,FINAL_INCLUDE,666
684,db-search,FINAL_EXCLUDE,684
692,db-search,FINAL_EXCLUDE,692
694,db-search,FINAL_INCLUDE,694
709,db-search,FINAL_INCLUDE,709
713,db-search,FINAL_INCLUDE,713
724,db-search,FINAL_INCLUDE,724
725,db-search,FINAL_INCLUDE,725
726,db-search,FINAL_INCLUDE,726
729,db-search,FINAL_EXCLUDE,729
732,db-search,FINAL_INCLUDE,732
746,db-search,FINAL_INCLUDE,746
760,db-search,FINAL_INCLUDE,760
761,db-search,FINAL_INCLUDE,761
762,db-search,FINAL_INCLUDE,762
770,db-search,FINAL_EXCLUDE,770
772,db-search,FINAL_EXCLUDE,772
779,db-search,FINAL_EXCLUDE,779
791,db-search,FINAL_INCLUDE,791
799,db-search,FINAL_INCLUDE,799
804,db-search,FINAL_INCLUDE,804
811,db-search,FINAL_EXCLUDE,811
818,db-search,SENS_ONLY,818
819,db-search,FINAL_EXCLUDE,819
821,db-search,FINAL_INCLUDE,821
823,db-search,FINAL_EXCLUDE,823
831,db-search,FINAL_EXCLUDE,831
833,db-search,FINAL_INCLUDE,833
848,db-search,FINAL_EXCLUDE,848
858,db-search,FINAL_INCLUDE,858
862,db-search,FINAL_INCLUDE,862
880,db-search,FINAL_EXCLUDE,880
883,db-search,FINAL_INCLUDE,883
888,db-search,FINAL_INCLUDE,888
901,db-search,FINAL_INCLUDE,901
909,db-search,FINAL_EXCLUDE,909
912,db-search,FINAL_EXCLUDE,912
917,db-search,SENS_ONLY,917
927,db-search,FINAL_EXCLUDE,927
930,db-search,FINAL_INCLUDE,930
931,db-search,FINAL_INCLUDE,931
932,db-search,FINAL_EXCLUDE,932
941,db-search,FINAL_INCLUDE,941
948,db-search,FINAL_EXCLUDE,948
950,db-search,FINAL_EXCLUDE,950
951,db-search,FINAL_INCLUDE,951
957,db-search,FINAL_EXCLUDE,957
964,db-search,FINAL_INCLUDE,964
971,db-search,FINAL_INCLUDE,971
972,db-search,FINAL_EXCLUDE,972
979,db-search,FINAL_INCLUDE,979
980,db-search,FINAL_INCLUDE,980
981,db-search,FINAL_EXCLUDE,981
982,db-search,FINAL_EXCLUDE,982
984,db-search,FINAL_INCLUDE,984
998,db-search,FINAL_EXCLUDE,998
999,db-search,FINAL_INCLUDE,999
1002,db-search,FINAL_EXCLUDE,1002
1005,db-search,FINAL_INCLUDE,1005
1009,db-search,SENS_ONLY,1009
1013,db-search,FINAL_EXCLUDE,1013
1018,db-search,FINAL_INCLUDE,1018
1020,db-search,FINAL_INCLUDE,1020
1053,db-search,FINAL_INCLUDE,1053
1069,db-search,FINAL_INCLUDE,1069
1074,db-search,FINAL_EXCLUDE,1074
1076,db-search,FINAL_INCLUDE,1076
1092,db-search,FINAL_EXCLUDE,1092
1101,db-search,FINAL_EXCLUDE,1101
1110,db-search,FINAL_INCLUDE,1110
1115,db-search,FINAL_INCLUDE,1115
1121,db-search,FINAL_INCLUDE,1121
1122,db-search,FINAL_INCLUDE,1122
1138,db-search,FINAL_INCLUDE,1138
1141,db-search,FINAL_EXCLUDE,1141
1143,db-search,FINAL_EXCLUDE,1143
1149,db-search,FINAL_INCLUDE,1149
1154,db-search,FINAL_EXCLUDE,1154
1169,db-search,FINAL_EXCLUDE,1169
1172,db-search,SENS_ONLY,1172
1174,db-search,FINAL_INCLUDE,1174
1175,db-search,FINAL_EXCLUDE,1175
1177,db-search,FINAL_INCLUDE,1177
1178,db-search,FINAL_INCLUDE,1178
1179,db-search,FINAL_EXCLUDE,1179
1182,db-search,FINAL_EXCLUDE,1182
1190,db-search,FINAL_INCLUDE,1190
1191,db-search,FINAL_INCLUDE,1191
1200,db-search,FINAL_EXCLUDE,1200
1202,db-search,FINAL_INCLUDE,1202
1203,db-search,FINAL_EXCLUDE,1203
1211,db-search,FINAL_INCLUDE,1211
1215,db-search,FINAL_EXCLUDE,1215
1218,db-search,FINAL_INCLUDE,1218
1221,db-search,FINAL_INCLUDE,1221
1226,db-search,FINAL_EXCLUDE,1226
1232,db-search,FINAL_INCLUDE,1232
1239,db-search,FINAL_EXCLUDE,1239
1242,db-search,FINAL_INCLUDE,1242
1243,db-search,FINAL_EXCLUDE,1243
1250,db-search,FINAL_EXCLUDE,1250
1253,db-search,FINAL_EXCLUDE,1253
1258,db-search,FINAL_INCLUDE,1258
1271,db-search,FINAL_EXCLUDE,1271
1272,db-search,FINAL_INCLUDE,1272
1275,db-search,FINAL_EXCLUDE,1275
1276,db-search,FINAL_EXCLUDE,1276
1280,db-search,FINAL_INCLUDE,1280
1305,db-search,FINAL_INCLUDE,1305
1306,db-search,FINAL_INCLUDE,1306
1315,db-search,FINAL_EXCLUDE,1315
CT0001,citation-tracking,FINAL_INCLUDE,1
CT0007,citation-tracking,FINAL_INCLUDE,7
CT0010,citation-tracking,FINAL_EXCLUDE,10
CT0017,citation-tracking,FINAL_EXCLUDE,17
CT0018,citation-tracking,FINAL_EXCLUDE,18
CT0021,citation-tracking,FINAL_EXCLUDE,21
CT0025,citation-tracking,FINAL_INCLUDE,25
CT0034,citation-tracking,FINAL_EXCLUDE,34
CT0040,citation-tracking,FINAL_EXCLUDE,40
CT0063,citation-tracking,FINAL_EXCLUDE,63
CT0080,citation-tracking,FINAL_EXCLUDE,80
CT0090,citation-tracking,FINAL_INCLUDE,90
CT0100,citation-tracking,FINAL_EXCLUDE,100
CT0106,citation-tracking,FINAL_EXCLUDE,106
CT0108,citation-tracking,FINAL_EXCLUDE,108
CT0123,citation-tracking,FINAL_EXCLUDE,123
CT0125,citation-tracking,FINAL_EXCLUDE,125
CT0126,citation-tracking,FINAL_INCLUDE,126
CT0128,citation-tracking,FINAL_EXCLUDE,128
CT0137,citation-tracking,FINAL_INCLUDE,137
CT0142,citation-tracking,SENS_ONLY,142
CT0153,citation-tracking,FINAL_EXCLUDE,153
CT0166,citation-tracking,FINAL_INCLUDE,166
CT0171,citation-tracking,FINAL_INCLUDE,171
CT0175,citation-tracking,FINAL_INCLUDE,175
CT0182,citation-tracking,FINAL_EXCLUDE,182
CT0184,citation-tracking,FINAL_INCLUDE,184
CT0190,citation-tracking,FINAL_EXCLUDE,190
CT0208,citation-tracking,FINAL_EXCLUDE,208
CT0209,citation-tracking,FINAL_EXCLUDE,209
