batch,id,item,item_no,verdict,rationale
nft_04,1190,qualitative approach appropriate to answer research question,1.1,Y,"§1 연구질문(가로망 형태 요인과 도시 요소가 경로선택에 미치는 영향, 보행자 유형 도출)이 개인의 의사결정 과정을 탐색하는 것이어서 보행과제 후 심층면접이라는 질적 접근이 적합(§3 서두)."
nft_04,1190,qualitative data collection methods adequate,1.2,Y,"반구조화 면접 스크립트 공개(Appendix 1), 보행 후 48시간 안에 본인 GPS 궤적을 보며 결정지점을 질문, 녹음·전사, 이론적 포화 원칙으로 모집, 3명 예비연구로 절차 보정(§3.1–3.3)."
nft_04,1190,findings adequately derived from the data,1.3,Y,"데이터 기반 개방코딩·주제분석·Weber 이념형 유형화 절차를 기술하고(§3.4) 주제별 언급 참가자 수(§4.1)와 유형별 N·GPS 궤적(Table 2, Fig. 5–9)을 제시함. 코더 수·코딩 신뢰도는 보고하지 않음."
nft_04,1190,interpretation of results sufficiently substantiated by data,1.4,Y,"각 주제와 유형마다 참가자 인용(IDI 번호·성별)과 경로 지도로 해석을 뒷받침(§4.1–4.2, Fig. 5–9). 단 소음 관련 해석(maintainer형의 소음 회피)은 소음을 직접 언급한 인용 2건(IDI9·IDI12)에 의존함."
nft_04,1190,"coherence between data sources, collection, analysis and interpretation",1.5,Y,"연구질문 → 보행과제·GPS·면접 → 코딩·주제 → 유형화(Table 2, Fig. 10) → 논의·결론(§5–6)이 일관되게 이어짐."
nft_06,562,sampling strategy relevant to address research question,4.1,Y,§3.1: MTurk 에서 2017 미국 센서스 기준(연령·소득·학력·인종·고용)으로 표본을 맞춰 모집해 미국 거주자의 여가 보행 경로 선호라는 질문에 맞는 표집 전략.
nft_06,562,sample representative of the target population,4.2,Y,"§3.1·Table 1: 연령·소득·인종이 센서스와 가깝다고 보고(남성 56.1%로 다소 과대, 여가 보행자 87.8%)하고 MTurk 자기선택 한계를 저자가 논의함."
nft_06,562,measurements appropriate,4.3,N,Table 2·§5.3: 소음 수준을 정의 없는 low/medium/high 문자 기술로만 제시(음향 자극·측정 없음)했고 결과는 실제 행동이 아닌 가상 경로 선택(진술 선호)이라 음환경·행태 측정으로서 타당성이 약함.
nft_06,562,risk of nonresponse bias low,4.4,CT,§3.1: 완료 536부 중 불성실 응답 35부 제외만 보고하고 MTurk 노출 대비 참여율·무응답 특성은 보고하지 않음.
nft_06,562,statistical analysis appropriate to answer research question,4.5,Y,"§3.4: 개인 수준 계층베이즈 추정(40,000 draws), 95% CI 와 t 검정으로 수준·속성 간 차이를 검정하고 다중회귀로 개인 특성 효과를 분석함."
