id,branch,verdict,reason_code,boundary_rule,confidence,rationale,first_verdict,recheck_verdict,decision
1315,DB,FINAL_EXCLUDE,X4,,medium,"체코 오스트라바·흐라데츠크랄로베 고령자 185명의 보행 경로(가로)에서 전략소음지도 평균 dB(§3.4)와 '경로상 소음이 문제인가' 3단계 순서 척도(§3.3)의 관계를 순서 회귀(Table 8: OR=1.031, p=0.015)·랜덤포레스트(Table 11)로 분석했다. 보행은 표본 선정 조건일 뿐 보행 빈도·경로 선택·회피·속도 같은 행태는 소음과 연결해 측정하지 않았고(보행속도는 경로 검증용 §3.4, 미충족 이동은 한계로만 언급 §5.1) 결과는 지각된 보행 장애(지각)뿐이다. 제목의 'walking barriers'가 이동 행태로 읽힐 수 있어 confidence=medium.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
819,DB,FINAL_EXCLUDE,X2,,medium,"푸저우 구러우구 전체(35.5 km², §2.1)의 12345 민원 플랫폼 소음 민원 3,137건을 커널밀도로 지도화하고 POI 밀도와 상관(Table 1)을 본 연구로, 민원은 주로 야간 주거지(§3.1·§4.1)에서 발생하며 특정 옥외 공공공간 이용자를 대상으로 하지 않는다(X2). 민원은 5도메인 행태가 아닌 성가심 반응에 가깝고(X4 해당 가능), POI는 토지이용 분포라 '이용자 행태→사운드스케이프 평가' 역방향(R3)으로 보기도 어렵다. 역방향 해석 여지가 있어 confidence=medium.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
68,DB,FINAL_EXCLUDE,X2,,high,"서지는 Road & Transport Research 학술지 논문이나 파일은 ITLS 워킹페이퍼 ITLS-WP-07-02(2007년 3월, [page 1])로 버전이 다르며 내용으로 판정했다. 시드니 가구통행조사 42,790명으로 교통존(TZ) 단위 동적 인구를 추정하고(§2.2) 항공기 소음 N70 격자와 곱해 인구-사건 지수를 산출하는 방법론 연구(§3.3.2)로, 특정 옥외 공공공간이 아닌 도시 전역 교통존 단위 노출이다(X2). 소음과 연결된 행태 결과도 없고(X4) 방법론 제안 성격(X5)도 겹친다.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
22,DB,FINAL_EXCLUDE,X2,,high,"아르헨티나 코르도바 4개 구역 주민 300명을 가정 방문 설문하고 가로 소음 측정치와 연계한 연구로, 목적이 '자택 내부에서 도시소음에 노출된 사람들의 프로파일'(p.286 Second Stage)이며 반응 변수도 독서·TV 시청·수면 방해, 창문 닫기·TV 볼륨 높이기(p.285 반응 변수 정의·p.286 첫 번째 프로파일) 같은 주택 실내 반응이다(X2). 결과는 소음 크기 판단(Table II)과 성가심류 지각으로 공공공간 행태 결과가 없다(X4 해당). Part I(Serra et al., 1992)과 같은 표본이나 코퍼스 v4에는 해당 연구가 없다.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
927,DB,FINAL_EXCLUDE,X2,R1,high,"노출은 거주지 주소에 할당한 EU 전략소음지도 도로·철도·항공 Lden(§2.3.3 [page 4])이고 결과는 자기평가 건강 PSRH(§2.2 [page 3])이며, 신체활동은 특정 공공공간과 연결되지 않은 주간 총 신체활동 시간(§2.4 [page 4])이다. SEM 에서 Lden→신체활동→PSRH 간접효과는 모두 비유의(Table 4 [page 9])이고 도시녹지 체류시간은 소음이 아니라 NDVI·정원 경로로만 모형화됨(§2.6.3 [page 5]) — 거주지 소음×비특정 신체활동·건강 역학연구로 R1(선례 1141 과 동일 구조).",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
CT0034,CT,FINAL_EXCLUDE,X4,,medium,"Warnemünde(Rostock) 23개 옥외 지점에서 훈련된 관찰자 12명이 음원별 지각 라우드니스를 기록하고(§2.2 [page 2–3]) 경관지수(NDVI·LSI 등)와의 상관만 분석했으며(§2.4, Table 3 [page 8]) 이용자 행태·활동·군중 지표는 측정하지 않았다. '시간 변동은 인간 활동이 견인'은 음원 시간패턴에 대한 해석일 뿐(§3.1 [page 4], §5 [page 8]) 행태→음환경 경로의 측정이 없음 — 갈리는 지점: 대화·발소리 등 인간활동음 우세를 행태 대리지표로 볼지 여부(본 판정은 음원 범주로 봄).",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
46,DB,FINAL_EXCLUDE,X2,R1,high,"노출은 거주 근린 전체에 대한 자기보고 '과도한 소음' 문제 심각도(Assessment of neighborhood environment [page 2])로 특정 공공공간과 연결되지 않고, 결과는 1년 후 신체기능 상실(자기보고 과제 수행 곤란, [page 2])이라는 건강 결과다. 신체활동 점수는 공변량으로만 투입됨(Assessment of other covariates [page 3]; Table 5 excessive noise OR 2.71 은 기능상실에 대한 값 [page 7]) — R1 거주지 소음×건강 역학연구.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
599,DB,FINAL_EXCLUDE,X3,,medium,"마드리드 소음측정망 31개 지점(교통·활동·조용 지역, 공원 포함)의 LAeq 를 COVID-19 봉쇄 전·중으로 비교한 연구로(§II, §III A–C, Table II·III), 노출은 봉쇄 단계(정책)이고 결과는 측정 소음이다. 보행자·방문객 수나 거리 활동은 측정·관찰되지 않았고, 소음 변화가 시민 활동·행태 변화를 반영한다는 서술(초록, §III C 의 20시 박수·Casa de Campo 방문객, §IV)은 저자 추론이라 행태→음환경 경로가 자료로 검증되지 않아 X3 으로 배제한다. 같은 봉쇄 자연실험이라도 관찰 일지로 거리 활동을 기록한 8월 선례 762 와 달라 medium.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치(코드 X4→X3: 번호 순서)
512,DB,FINAL_EXCLUDE,X2,R1,high,"§2.5 소음 노출은 '집에 있을 때' 도로교통소음 성가심 단일문항이고 신체활동은 SQUASH 통근·여가 PA(특정 공공공간 비연결)이며, Model 4(noise annoyance→PA)도 비유의(Table 5)한 주거지 녹지–정신건강 매개 역학연구(플로브디프 청소년 399명)라 R1 적용. Table 2의 '녹지 체류시간'은 녹지 노출 지표로 쓰였고 그 대응 변수도 주거지 성가심이라 공공공간 사운드스케이프 평가(역방향)가 아님.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
351,DB,FINAL_EXCLUDE,X2,R1,high,§2.2 노출이 '집에서' 교통소음 성가심(ICBEN 11점)·침실 야간 음원별 성가심이고 §2.3 결과가 단문항 설문 주간 중강도 PA(장소 비특정)인 SAPALDIA 코호트(스위스 3842명) 역학연구 — 경계규칙 R1(주거지 소음×공간 비특정 신체활동). 코퍼스와 표본 겹침 없음.,FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
